Date,AMT,ARE,BXP,CBRE,CCI,DLR,DOC,EQIX,ESS,EXR,FRT,HST,IRM,KIM,MAA,O,PLD,PSA,REG,SBAC,SPG,UDR,VTR,WELL,WY
2019-08-28,0.0015228243515523765,0.008000535409991905,0.0031685714007634314,0.01581185384845951,0.0026013213424671555,0.007811077114161069,0.0011562198374186483,-0.007156819054533914,0.0028225704376882987,-0.0018973799610477737,0.008584584594892863,0.0025412230944259484,0.011534736041609372,0.0032950066523211863,0.010307786396456686,0.003555452540922266,0.01012052871871072,-0.0011058092551365917,0.007798944740341707,-0.006381286303619227,0.0073553626930065175,0.0029405644850235557,0.0002744524567297457,-0.00078698108139863,0.023952087444743198
2019-08-29,0.0011734169594441735,0.013364336758705297,0.011449844573276247,0.030333275578720897,-0.003414051705272092,0.019129380303801957,0.003465369695129672,0.00756940379876081,0.005660958453276965,0.001735622872100162,0.011322684790705084,0.012674308797144818,0.00791927212663146,0.008757490704173199,0.003637753410461464,0.007357673047446944,0.010622888465371183,0.001145029787436913,0.017529851361910875,-0.002394220827758309,0.011464758367851102,0.007329492222825529,0.010986318744199197,0.00888736383014499,0.01793373007223953
2019-08-30,-0.0009549314169542411,0.0030790099805915183,0.002576301677944981,0.01239588178206863,-0.005344157421366846,0.00024271791500685147,-0.0011511341263932273,-0.002581649523658913,-0.0009019450083959102,0.00585766447474545,-0.0023161491081031826,0.0037547834647133627,0.0009424887078299804,-0.0027128945829413276,-0.0017333616415122766,0.0014516216558435602,-0.0011942718303800115,0.009533490329785899,0.0012416051496464409,-0.00034307214730988633,0.004857365279585357,0.001663590105314805,-0.0031241648033347724,-0.0013381900048716755,0.007659674420047002
2019-09-03,0.03323352753812836,0.0010013464951632578,0.0029590396761072224,-0.006122052650119891,0.016601379370049685,0.01536837836288596,0.023912092280687913,0.01731128564271689,0.004233428684598639,0.0044290953830565805,0.01888385388671221,-0.0006235613835181564,0.016326612826803588,0.019042279291829667,0.009472528885683618,0.022354781074690022,0.011360753785820021,-0.009783198370617363,0.012711082285451258,0.013108468840339338,0.003827122951540529,0.006641654674273356,0.016623659582334138,0.02032161888473749,0.003420818635059941
2019-09-04,0.013580278926949685,0.017334535861962985,0.007142723829139719,0.012127065618152466,0.010096078192029845,0.007328935412423299,0.012661817673236708,-0.013111969090133346,0.008647865870516247,0.00865581879443833,0.01025460454323368,0.01933875762253434,0.016991229804282026,0.004805080277451523,0.005239393458942088,0.01364974280436737,0.009459789081309955,0.007324156677918969,0.017603193862943067,0.01282596482195375,0.004280687756955004,0.004123646336455344,0.005495064889990076,0.011819143218595896,0.008333325444616069
2019-09-05,-0.022068255741494847,-0.0026212336172076744,-0.0007709126741255456,0.010840617629791938,-0.013416325833336074,0.0017398653569304923,-0.017782730929290613,-0.013410755575715139,-0.00212063397345974,-0.01878257728733357,0.0030827120277534537,0.023255727592407016,0.005163709184121901,0.004782101893956003,-0.0015558270326108126,-0.019479676764079357,-0.009136772096827728,-0.02200177760312738,0.0015041671219797603,-0.022578618163751063,-0.0005994128255585318,-0.00718692446718594,-0.005331802274555653,-0.01481755304850152,0.011796023898667185
2019-09-06,-0.013404109212918125,0.006044648863502644,0.00424304363641137,0.013358401958407429,-0.004283778129555049,0.015394298045730448,0.006506794994257437,0.005607737086152476,0.00720648176294203,-0.01204582391269926,0.006146016827044853,-0.003588451992225239,-0.0012086669642727976,0.023268336725745353,0.003662031906740193,0.012666903925924844,0.002364415254889396,-0.0029429282301729476,0.005106593432274931,-0.003115596764724504,0.007930149315900525,0.011996139528698269,0.008174854432234646,0.0032933824652743304,0.0045129168407596065
2019-09-09,-0.03693165666352349,-0.0036573302380910055,0.0014599169209024154,0.027664274914307452,-0.020213276811835157,-0.004120756870458764,-0.010399480529336591,-0.02865927938777668,-0.004249973578119848,-0.01219335972928981,0.0052150484527375696,0.028811685750521177,0.011497746497053596,0.02118851927307852,-0.0026395671511142416,-0.009216725693011574,-0.0018868956733416598,-0.010446447354080957,0.02196642035575036,-0.03956097453685403,0.04601650793031431,-0.010218975278797227,-0.017280479908212576,-0.012911836774627705,0.006364814680021702
2019-09-10,-0.03477664051942586,-0.006161925954235814,0.004219120873194759,0.006865421474092859,-0.028993484074527287,-0.0034349518216852948,-0.014768224539679076,-0.012579004983202302,-0.013787003941196474,-0.0211360014011146,0.009264240445237215,0.016919644631852027,0.0029912993852458936,0.01771267264780696,-0.004202999111668992,-0.020597706654552295,-0.016070027642548057,-0.01887673497901632,-0.0024855372285432775,-0.04329368126983635,0.019025405263952244,-0.012182315655021703,-0.026646742540258672,-0.025828418492410576,0.01711298084623447
2019-09-11,-0.016234316074858812,0.004749182790701134,0.008478853385452956,-0.011125048214200794,-0.004737280451320158,0.006658717135284542,-0.0025945712730300885,-0.005644921200866904,0.0031138261334373585,0.006563959829229304,-0.0007343601723848181,-0.0005739788286378555,0.011034928507126063,0.003978169737863357,0.004767939708890001,-0.0010858958953934295,-0.009367193518950767,0.006814300461629008,0.00732908526653242,0.004770116306172856,-0.02077904411973719,-0.0006273666798956024,-0.00694833447209775,-0.0022758929420130247,0.02377497817940033
2019-09-12,0.02891377702174136,0.006892869159835557,0.010680256242632469,-0.0070767444262227475,0.009270407993656749,-0.00698476609843901,0.00028891174558443034,0.019755990801779255,0.005710727936426352,0.003946963331233677,-0.002351454332279679,-0.01951799742976279,0.007079840484799371,0.009905494370077372,0.0008555563602892224,0.011817418559253667,0.018790203651547488,-0.0004405487307099776,0.005093127986003587,0.015108794950441373,-0.016469275475500034,0.0046018408613548445,-0.004058301741776793,-0.002623209855936892,-0.004287541817878604
2019-09-13,-0.015901388861267463,-0.012126660478441909,-0.015213914595907818,-0.013157916751484144,-0.017073674365678637,-0.017466241109227454,-0.025136978492959483,-0.003859544496798595,-0.004289607114635885,0.00017237813452664064,-0.005229786298464045,0.01405178796798956,-0.029198603564352,-0.013241340229412257,-0.013213187072069088,-0.024969583346849733,0.0017848616498110648,-0.024561222893338952,-0.014622969956378351,-0.00967875732468415,-0.00863006422912449,-0.008952984929759045,-0.01672053205426227,-0.022184148626623656,-0.016505271559499213
2019-09-16,0.006500773608828503,0.010823248323353463,0.004794491644114718,0.002222202442310417,0.011140527193363114,0.016650718249418217,0.01066968452019501,0.024459641766062523,0.005175831929190133,0.008611724505420915,-0.0031841701729702354,0.005196283147435032,-0.008295100545955503,-0.005467493378580435,0.008664177248621119,0.01844974168939051,0.012234228279810022,0.016019525632961384,0.002498108511361119,0.011374929458979999,0.0029883110730675178,0.011975047920177007,0.012574934459074871,0.016606385025863535,0.006567087709298924
2019-09-17,0.02089743597411231,0.0049621055319448715,-0.0062863827893672175,-0.004064992800216882,0.03276288411286976,0.013371286049904008,0.029618773494057393,0.0163291903230951,0.013938010124503686,0.005123018709121796,0.007725621567545415,-0.009190074368248147,-0.0012392225848666394,0.003498525492978022,0.012572297995257609,0.02433435473700074,0.014315960880201928,0.014069384282342723,-0.0017589417561932885,0.027203631085644275,-0.0014250159475378554,0.007058481711960551,0.029918424006251332,0.027263347312499908,0.00869869183385874
2019-09-18,0.0014008102404265976,-0.005846929952536106,-0.005792681387539966,0.0003709952226402802,-0.01354545429036036,-0.02170529661662368,-0.004557246092701583,0.003739589015550937,-0.001246876435197497,-0.007560357768982007,-0.0015478415644555321,0.0028986688284420303,-0.0027915660632841233,0.004481962944101081,0.0,-0.005279535777976907,-0.009949217613201,-0.0014354188553994396,-0.003230062515520604,0.0015809977543619347,0.010702545111599626,-0.004123206024466142,-0.006440284551545328,-0.0047031774432269025,-0.00035940114584598337
2019-09-19,0.024637924733340366,0.006665641980588388,-0.0031432132313263805,-0.0012982139688672012,0.004909065765507981,-0.011731533557616691,0.004005678429559678,0.014313712054574212,-0.0045066475054252875,0.00017138554395046413,-0.0013288965889793891,-0.0017341452706909344,0.0,0.0024789926233259596,0.0011568861604538405,0.003316771830685239,-0.0003526907927363654,-0.0003191443216502554,0.0016202648144025833,-0.008603112251402312,-0.007701350577013044,-0.0016559459408189703,-0.003309834077706131,0.004725401846602084,-0.0010779702870415964
2019-09-20,-0.0066502217760139315,-0.003895003174261391,0.0006150954412684762,-0.005756686487980667,-0.0046729294169333135,0.009690370039934892,-0.002279725892662343,-0.004534174492416554,-0.012571439748381597,-0.0074452906540415364,0.00022330038727558232,-0.0017370845556340386,-0.004665606969229241,0.0024728624156391543,-0.00593136234612035,0.003570700801453608,-0.00788044195843185,-0.010343868000298628,-0.0039704856898625795,0.02213273896914414,0.002716681756130157,-0.006634977120946628,-0.0008305686817843272,-0.005599100398033574,-0.005397798549779398
2019-09-23,-0.0007976970490299884,0.0006519890835334774,0.001075960619003835,-0.014195034053689382,0.0061176505590825325,0.010237765038845215,0.0014279564341068696,0.026939903872431836,0.007217610796413254,-0.0020698256720527164,0.002681422392051269,-0.001160535912856031,-0.021250039254077868,-0.003453584454254033,0.0006973299666477306,0.001976632057306249,0.0032008861206467287,-0.009483498219955977,-0.0008861126016400656,-0.0046734321121131295,-0.0005807954533001425,0.003757245864555392,0.005816603452525992,0.0029280394727215775,-0.000723654043201627
2019-09-24,-0.00097624358888182,-0.0025405514746887903,-0.0056044356445519306,-0.00795752517353332,0.006433858436414974,0.00989630015083387,0.008271579343457347,-0.016623282678512874,3.075926825313324e-05,0.005184187868717105,0.0005200770289273127,-0.006968369466734181,-0.003831280058534059,0.0,0.0007745491209849575,0.0007889761908901338,-0.004726911087401642,0.009533329519682887,-0.0007385594946888174,-0.003130140699979189,-0.006130967289196487,-0.000831553504341942,-0.0023406410410479195,0.0012348468477607621,-0.0025344000228678665
2019-09-25,-0.013856875432150861,0.002416259570669599,0.005018339922331139,0.019480527996059926,-0.01587657091532846,0.0008621793009779832,-0.0073549854965035966,0.012603597050506954,0.0066430181336798455,0.006274621094305877,-0.0017075277220199858,-0.002339188030738071,0.0,0.0044555339706005,0.005029347137821771,0.0003941770990989468,0.010567658481281716,-0.007223832753011528,-0.0010351808327782042,-0.03438407317679604,-0.0015583282556412836,0.0002080354765272574,0.005244020838144348,0.0,0.010526322388224374
2019-09-26,0.008638930170635772,0.011138651491420903,0.018591102607856236,-0.002622693646442409,0.013634435751652019,0.006736130754540159,0.008264506937919025,0.006508601823518312,0.008829004917921157,0.007773285552829634,0.01249519127221288,-0.009378690643850551,0.022756222007707327,0.024149835599756475,0.0043882386370917015,0.01510606555676075,0.013629345753997324,0.0019106770015826502,0.01924473001579141,-0.00016270177687571774,0.012096656650514959,0.008114701432213378,0.012218824376379445,0.016261599896251422,0.002155277651959775
2019-09-27,-0.018026643846678625,-0.007262162105534875,-0.011546665789959665,-0.006386178472368553,-0.02908489897300659,0.002489744906316149,0.003956916500643226,-0.010976795994954935,-0.005818116551261632,-0.010933978785796494,0.0031586610100702295,0.024550992444594133,0.008461389718048995,0.0033683167554574567,-0.0009964181327087873,-0.001941150610285436,-0.005680039548561888,-0.005923607195471692,0.0033407024111331562,-0.03715888372112108,0.01503671965085629,-0.002476741166618779,-0.0010850448551725789,-0.003641899893482625,-0.003942520190349574
2019-09-30,0.009818062293825314,0.006074174524776099,-0.0035349127044821405,0.0020793344514458134,0.008268771123915997,0.007450610012696091,0.00309711238447008,0.00031172891662456514,0.000918706309487316,0.0011140732487719962,-0.003075458279355514,0.01052017457062071,0.006525661079348266,0.001439151662757432,-0.0024554452887082245,-0.0028998519033014425,-0.006528249751141302,0.0010610968851645364,0.005935162094763191,0.018240902992294306,-0.014623970067083158,0.003103484487060326,0.0023745223985844888,0.003987344035854212,-0.0032385548364093353
