Date,ADP,ALLE,AME,AOS,BA,BR,CAT,CHRW,CMI,CPRT,CSX,CTAS,DAL,DE,DOV,EFX,EMR,ETN,EXPD,FAST,FDX,FTV,GD,GE,GWW,HII,HON,HWM,IEX,ITW,J,JBHT,JCI,LDOS,LHX,LMT,LUV,MAS,MMM,NOC,NSC,PAYX,PCAR,PH,PNR,PWR,ROK,ROL,RSG,RTX,SNA,SWK,TDG,TT,TXT,UAL,UNP,UPS,URI,VRSK,WAB,WM,XYL
2019-08-28,0.002217784992838867,0.005545134111651917,0.00453845056288027,0.013713553505108722,0.014771759266754891,-0.006720842501830915,0.013053272176629438,0.01020264098484347,0.019607439632476353,0.005091851759315036,0.01521505617278307,0.003944167850139291,0.009618768294940239,0.017454665986570195,0.02080255427270372,0.0012438684722733129,0.009777996290115443,0.013140860662622211,0.011019316384870859,0.005723725408523839,0.024409889912066607,0.008836882604168705,0.011344085979518859,0.001260814530453791,0.01134280665726739,0.0059225573105472495,0.01314447403605179,0.009928523267717093,0.0013525931458786555,0.0020689265611855134,0.005645892832751631,0.03288272691730265,0.013098370661374759,0.008114514036451359,0.007791492122190435,0.0025791539323578583,0.013269939491840965,0.017285371889026013,0.011557169069399853,-0.0007688133311042344,0.014710193466225041,0.004587249049958331,0.007252131135150108,0.00918675679159886,0.013533186071124081,0.009491736205304635,0.011213783821127477,0.014589065057231565,0.0036114949911267846,0.01846379644178242,0.00806362161046037,0.0053234005960112185,0.016955886360521477,0.008496967622342755,0.014729724245546194,0.006223999165738681,0.005905838973126132,0.019276025278299302,0.0242774123374625,0.005474954408083876,0.0043980361937518975,0.004246299158901179,0.012831042455150099
2019-08-29,0.013275880126978112,0.01601470878604694,0.023778383595123298,0.02306515035652157,0.007695085651543643,0.013610383110404634,0.025335150183114497,0.011422745255067257,0.024038889558216203,0.00973197849285845,0.020874798914720216,0.009230212967425544,0.02117151576552434,0.024620137163015032,0.021708014779972418,0.008075156481185619,0.022652608750077796,0.02273035992760697,0.012313881158859452,0.022430627011158277,0.027875647232043388,0.01609896380332332,0.021731857574070368,0.02141054122061159,0.01855585102404378,0.021285943775030125,0.025384147041468186,0.014942735009169317,0.015292324515934652,0.019614283959322742,0.026783228585895325,0.028181197960789328,0.0018804046134797137,0.0172658444017022,0.005563129866963612,0.00908199236693119,0.022282995407683748,0.026486586891850017,0.01783522565115181,0.011074463642481103,0.01159759327986265,0.010242799728172658,0.02332129319052112,0.030512539370143088,0.02017072087984273,0.016985208161376164,0.022651742336969205,0.02031889842015544,0.005398506802040792,0.020808635008463083,0.01565547558567504,0.02279164540038736,0.014562406653149562,0.022808486840192765,0.0274193824433695,0.027168048224067487,0.027313370257903147,0.017536313959439553,0.04702769515722727,0.006258591226503185,0.01993089720081298,0.009048704656613449,0.018669246559186226
2019-08-30,0.0023602547759995485,0.004906142582541184,-0.0020903642421411517,0.008454298931249049,0.0037216723656547934,-0.006828802537605205,0.010444132564271458,0.004398276166240445,0.001140051351583793,-0.004621052072784848,0.007668123624631429,-0.0030234603541304805,-0.00034575648672618975,-0.010033218130600652,0.016151706704974123,0.00219075987985895,0.00760922409749587,0.01356076431445663,-0.005872405044417772,0.0026194506199075374,0.007367367583336781,0.0029705372516175554,0.009500361870412366,0.01726285521036952,0.0010608648123826558,0.008346518339737541,0.0062345144549904585,0.0011624785959742923,-0.00368987377717489,0.011542458574512082,0.012188436837516914,0.010664436863959903,0.0016424721624326288,0.0018346552828831797,-0.008860725878543585,0.004918572355213646,0.00038254610396681876,-0.008519823048944386,0.008481282399281254,-0.0001632333501049299,-0.0022929060895392483,-0.0019542343014583574,0.0027533520241709297,0.00993072243101012,0.00027813900149031845,0.01103494926719284,0.010248117898765896,0.005208236630176444,-0.0016778746518844034,0.005636502524841047,0.0008078666345339158,0.002036568650151782,0.01802235895098203,0.007571967982630046,0.009194944351477385,-0.004487009940463915,0.0014222763748441558,0.0024500744399160723,0.011139153272282876,0.004726710594326278,0.02457388734653887,0.00025143562498564087,0.002879858415118619
2019-09-03,-0.015484892169565834,-0.009764466447942155,-0.029675231600460816,-0.01977652941077368,-0.026559293271966267,-0.008420908529474191,-0.016554695003034303,-0.0288791527652823,-0.022509773940265765,-0.008356509597007289,-0.009996830433237514,-0.014670191359281715,-0.00985116312262635,-0.026402224153830534,-0.013121328789603925,-0.005191984625992796,-0.019969793552007786,-0.0276262707692716,-0.012517510284927091,-0.029392571837965176,-0.020427403658430876,-0.02651594067910168,-0.010404324599505244,0.009697007101069577,-0.027589933507341735,-0.004593321153274155,-0.006621139612271398,0.005418177110938949,-0.0209459241610791,-0.03202984023590516,0.004839193403908482,-0.012865861973340165,-0.015928618604442835,-0.011561353193030866,-0.0006173256312241859,0.0015101617249229093,-0.01796623284029808,-0.021851563266067853,-0.019045583877438044,-0.0044581748055076975,-0.018328073977655568,-0.008568079439736143,-0.020134760383924144,-0.028955997565834446,-0.027839692997417953,-0.02979373794772755,-0.02984453004995702,0.01005782980790082,0.004705907238460538,-0.00975093832449414,-0.009079821715816006,-0.030182027473716344,-0.0065760403624763875,-0.020645919406130808,-0.03022203018970171,-0.0137587008220309,-0.016238861439704322,-0.01120857090613181,-0.025675195563908848,0.0012384570869818923,-0.04912599331205669,0.00150809113046102,-0.025714372475782676
2019-09-04,0.014951496863465197,0.015000743092285163,0.02146768528450438,0.0153506904115428,0.005953321159860803,0.011141516823223174,0.017687926732615544,0.00865333307123417,0.020972294787420687,0.012038543340848085,0.017332023682360864,0.015696676911404417,-0.0010474619428225695,0.00596727560501642,0.007999018549789572,0.005493782230103994,0.020719077072153036,0.008663420297105873,0.013815765269013625,0.008075324182350352,0.02374962792826163,-0.02984652275882993,0.007554943106477419,0.056422428651914824,0.0077790990976163155,0.0024994874039721005,0.022075456135914218,0.0,0.010542068084546719,0.011925976543101013,0.017695182194153114,0.02044076815936169,0.009283250726968895,0.014707838162755005,0.01481982080688038,0.011411785979264844,0.014013198896627665,0.02058248391759321,0.009014424002893318,0.015918769991692505,0.004155527954397664,0.017160202067774577,0.0189912053227983,0.013915513645659239,0.0166097994018084,0.022195224995921414,0.010794015966155923,0.013277028597003193,0.0017842938716217116,0.016127511258400506,0.010316995548677044,0.009701012343255488,0.003365910596512034,0.006745941722985815,0.01856065396406459,0.009140133761680547,0.004707743064872538,0.01823911840657244,0.02854023109361359,0.006800666403218969,0.0074459849595172045,0.009370319591978093,0.008976046955021078
2019-09-05,0.020976716600742185,0.01922261384096191,0.03710235745874324,0.028509966004147236,0.010574041283372804,0.013330073887169114,0.03266147633890926,0.02042316147778589,0.0381953644978843,0.06542422295336414,0.008296693201982341,0.012234334269274338,0.016774582658092285,0.030187172567654574,0.030884820618620523,0.002458793816754401,0.03740990556889967,0.0351143436665029,0.019527945068516628,0.03671570465094853,0.03344656581311778,0.017025041751759673,0.008180067927742174,0.0011363456675832495,0.03210638808717303,0.027234402139144853,0.019325034672511343,0.0011546768744059577,0.035284864696113916,0.031950169467221734,0.005392347227325844,0.03317085095745176,0.010613343356574267,0.013695151875128264,-0.0071146451960645285,-0.010100937521449804,0.008061172445090525,0.014756430286074984,0.025988553241939272,-0.009756579564023538,0.027452280587361155,0.017114266677599188,0.04185832298011061,0.05165154347858292,0.020563317032275208,0.02171340888076312,0.059200514298587414,0.01846346884628014,-0.011354801108262369,0.015108826636844652,0.01941564955435493,0.047809471513011514,-0.006727908235192981,0.021453790414263096,0.04139492820286139,0.02300074593671786,0.037793442909729746,0.014480580987148661,0.03271264685354325,0.004298964302923647,0.02549023626333513,-0.008715362602377041,0.03239939308575379
2019-09-06,-0.00011525523178623764,0.0033464343458449175,0.010641755927725205,0.003990009888619417,0.007493838479460724,-0.009276823599340789,-0.0023579971233718133,-0.00786323600804495,0.0015519940745858385,0.009552123027369408,-0.007934486285790077,-0.003929139547077742,-0.0036090356098265053,0.0014076832405147677,-0.010298548925649742,-0.00013653989194628569,0.006630141043467264,0.01586334101485276,0.009370402715688453,0.016097917188115263,-0.01136002535349745,0.0054331538200038665,0.0020803946335556933,-0.011350917485531853,0.005202757637172706,0.003547480210186915,0.004636834624375918,-0.0007688967556347404,0.0008297539975266055,0.00666791263486699,0.010507752631971234,-0.015118874006034733,-0.0006999477603466531,-0.013510128611935346,0.012115728823567373,0.0036606750587382386,-0.0072352206445494005,0.011876072184436648,-0.001765913545221709,0.00179798031230205,-0.0069206193677285865,0.003221734963270384,0.0020525394906572014,0.01077856423198198,0.002483698188248562,-0.0037843058533599816,0.014744806720005776,-0.008187047435496364,0.0007884251444987278,0.004961137877894206,-0.004415570711351013,0.01107691082801443,0.0017637099324065986,0.0015650427721449756,0.00410454313262254,0.005358885525303059,-0.00920989925752358,-0.009240681687335717,0.0034337826328239007,0.006359438362220082,0.004117937448021802,0.0020153150204182957,0.008231771955381495
2019-09-09,-0.030014195903467877,-0.01020713370445736,0.005601255457513554,0.026981582635980494,-0.01162538373523192,-0.00859608605810136,0.03708241267896595,0.00012012492562085697,0.03821819364742951,0.01118215400371203,0.022659978679460124,-0.03955818369673603,0.002242296797816179,0.011755727010691608,0.004099116021009097,-0.015399177675322173,0.024578341309228202,0.019219454387896073,0.009692455495902808,0.016159692734714515,0.03428645667167274,-0.006718301911136093,-0.0238749155871405,0.028702918691644763,0.02760388494571897,0.002093001175613951,-0.008763671310588639,0.011927654080813088,-0.005448627382468096,0.008000517145940522,-0.002166510603863414,0.028264093981080762,0.001634594905298714,-0.03081526281680469,-0.027387064141787154,-0.016426753585278564,0.01802849800960815,0.007425149848423462,0.012199514430584868,-0.03246585989026873,0.012909790125719134,-0.02688248039179053,0.031167576888426307,0.02288294599822538,0.014868282616319783,0.03652797726229595,0.005899140642109835,0.011792260604308602,-0.014176679370022316,0.003141850128126844,0.008803655012596945,0.03852548223621399,-0.038077468208354004,-0.0026315838535702074,0.03162643818638644,0.011935095514181482,0.009234764184761879,0.01315776694934967,0.032765727011306645,-0.026613357688346495,0.030906678222000883,-0.0143301056892422,-0.011353673375078976
2019-09-10,-0.022136615643762014,0.003267034787024281,-0.015261305797702795,0.012627249955505793,0.029851122641299188,-0.03228318362433691,0.023889880681802422,0.04094133510828768,0.019711279545451488,-0.016162374726669038,0.02375099962043059,-0.0261675104566359,0.009120555734042801,0.03586732808811144,0.015911435819687236,-0.031141683514111285,0.016149165029955226,0.023452840919275797,0.02095764880300055,0.022450830231425467,0.028909605573793407,0.008822261239293638,-0.0010635697798853094,0.020089143112886232,0.016893764087082763,0.0112786332087913,-0.00029468407158028675,0.015589250240911401,-0.010123446166998784,0.023745748152271595,-0.023339175915533805,0.020813249093528663,0.0018653672733235371,-0.010951342655087015,-0.0009582481306169566,0.0029197244131551336,0.005651740132534666,0.007370423350598898,0.01759668817736193,-0.0020796329608979702,0.0071055186359860745,-0.013078865481366386,0.020434375253363557,0.021582441163930488,0.0295709675919531,0.07894027791061498,0.011605512663674489,0.006993076372888041,-0.020200810560253024,-0.0014915795519159225,0.03687683767093186,0.030110402156702465,-0.016862116932360616,-0.0009068658234689941,0.04754968087648348,0.0026336393303185712,0.008728719856298195,0.006082477408175357,0.027584627685320884,-0.03171070112763752,0.026570115941256578,-0.03349757612927429,0.010967967898965147
2019-09-11,-0.019412115889763215,0.016996116981817355,-0.003393990652310608,0.022526347702716443,0.036401619721734946,-0.002799856074443663,0.02149061944685804,0.027335942354306475,0.00914705169382013,-0.0025938622387278176,0.003960967345824962,-0.011848743437127052,0.00238749192957588,0.006766978309847627,0.022256249284225316,0.008142827226001348,0.00601746011144777,0.013703548608468452,0.00450250721618195,0.021652929262408582,0.00986883204213318,0.028858979716329003,0.0038859008947595974,0.024070161950387137,0.014687302914452305,0.01147419488485979,0.009846357740562972,0.006738998119142359,0.008722975670166555,0.01385387904146862,-0.0018892651808883887,-0.00421538499826557,0.026762874589466357,0.014882649302462081,-0.00383440740911678,0.0006030241889778409,0.024915719544559733,0.017229234043191433,-0.0046190911081772645,0.0105890390381993,-0.008511420685484161,0.006316436574490325,0.0057014797751719914,0.017485650406263042,0.0036892888682116265,-0.004181010290938314,-0.0005493494358191908,0.007233758346427033,-0.008852617346142844,0.015234313162526325,0.022592178008390418,-0.001898754498121047,-0.007565417339900571,0.018981640324412297,0.0189128528771918,0.009365003628232005,-0.0016114906139537144,0.0036764656719452393,0.028778583871524877,-6.442898446623602e-05,0.030588341133464647,-0.012843255527560271,0.011997426115888832
