Date,A,ABBV,ABT,ALGN,AMGN,BAX,BDX,BIIB,BMY,BSX,CAH,CI,CNC,COO,COR,CVS,DGX,DHR,DVA,ELV,EW,GILD,HCA,HSIC,HUM,IDXX,INCY,IQV,ISRG,JNJ,LH,LLY,MCK,MDT,MRK,MTD,PFE,REGN,RMD,RVTY,SYK,TMO,UHS,UNH,VRTX,VTRS,WAT,ZBH,ZTS
2019-08-28,0.006620546705095709,0.006090850701968131,0.006814410924129266,0.020195595196800253,0.004988346797480725,0.006251101779074286,0.010746237223106192,0.0012682369971497298,0.015230421691911022,0.006395084082358338,-0.00453151227193449,0.008067288568004649,0.006440171516519655,-0.016605908171478778,-0.0033216538937737017,0.004899246855785133,0.004678633739161553,0.008969154058895201,0.01283009403250257,0.009988091772667351,0.009353704090891535,0.005212268465830672,0.014054502771812638,0.000661609595320245,0.014776452405735663,0.002774198740738587,0.013580816208308866,-0.0013015550141595167,0.012585310522766235,-0.00740486534149043,0.001769308861226726,0.002167420226540928,-0.004684233765636758,0.004277396177531978,0.01122532111171215,-0.0012977857108907864,0.021549258804547167,0.022138493333197617,0.007721871958901394,0.02057376348014972,0.004484939805486254,0.011468273775228965,0.013648180899146434,0.01982684868495377,0.0005048882911113939,0.025709978405247913,0.01057840068702287,0.01962856070444685,0.004232145694412992
2019-08-29,0.01086615877368513,0.0022703951227340813,0.007124146136045839,0.014889173910095144,-0.002602176139186896,0.009111048384025766,0.00802324415290534,-0.004116359668703384,-0.00801464454223988,0.008237196053076712,0.01269820869322591,0.03424890171604056,0.02206531347603269,0.02374054037596829,0.011109621750849286,0.011264429639616269,0.014068991958393173,0.01569992075273241,0.019093025105987982,0.02356104459089403,0.014614985734193509,0.0017285177920960404,0.014279826213940083,0.014049561555720569,0.012351348288371478,0.013062092093493405,0.013398942688756188,0.01642114494606073,0.013785604768157933,-0.003419469805504227,0.022104387914899215,0.011534599167021486,-0.0010141992537164857,-0.001851700233172937,0.002775206757904991,0.012036027917216696,0.007126560587040531,0.010186376646291295,0.00985185021064483,0.015027266835724307,0.010615472110888646,0.035173347541009425,0.011500544006746383,0.014382911764708073,0.0035886475428421605,0.039164214554923804,0.0221467987897086,0.00758318496803434,0.007235434236702698
2019-08-30,0.005799640685417717,-0.007248699313909923,0.00589489534850296,0.01756045410224849,0.007923361774675675,0.005142810130535969,-0.004391305520911382,-0.001862298579621391,-0.004143542950529433,-0.0025677079822540305,0.020344924350312432,0.009639721111012634,0.006476667509435874,-0.05733595886387932,0.004394883937301808,0.012801298075775014,0.000195716765135856,0.0028939109139820562,0.015492715481094876,0.006659055060093122,0.00804294953564777,-0.003294047891849061,-0.0012464856967994153,0.004400985566080484,0.01331035421740867,0.0015554691699048995,-0.0075206541511531055,-0.005321206909791876,0.006257856890304225,0.0009355598052029901,-0.001727876232105019,0.006414360323051094,0.005234585247632317,0.0008347806725714779,-0.0028828733382888494,0.00400506777387144,0.0062268678416561585,-0.0017896846482565731,0.006648098499282273,-0.004573578985057947,-0.005229307896835178,0.004514317754999775,0.0037488775315952516,0.014656469806584749,0.005810752987753354,-0.021607887099928558,0.004598905884335203,0.00738190141429218,-0.0020525548628514967
2019-09-03,-0.00984426443860631,-0.005171789066627852,-0.014767945788033532,-0.028398213810874817,-0.014859694142684399,-0.0019330469770605374,-0.02319624781092733,-0.01051193428256536,-0.0006237911521115302,-0.024806959621969105,0.003941501718958573,0.006624462680390186,-0.010296000712862408,-0.03296197889195063,0.021514753174405765,-0.0037753047053558086,-0.0008790979274003741,-0.015623949944491344,0.038495689635628993,-0.013077319178511626,-0.01456005764553403,-0.008970804173926039,-0.001996450322728771,-0.0009736702309922629,-0.010063748250109916,-0.012632027974974203,-0.021510659286177014,-0.00799220292075753,-0.034028256660262546,0.002960508931925787,0.00017919011433953358,0.008763202852703156,0.006364485160550881,-0.0038930271650008397,0.00208201956587839,-0.005770456544916924,0.016033693351736433,-0.01699706664760592,-0.010983056584192852,-0.014631264251063869,-0.01151099083854068,-0.01229713656817144,0.00919911962236375,-0.014444760608857687,-0.0073325591206014895,-0.010272085068767423,-0.001415843374496073,0.0013646954565065261,0.004904382521563999
2019-09-04,0.006391414797132233,0.014984659894370145,0.0019034089853700031,-0.008599846820320889,0.00389258194847808,-0.0031896156579918067,0.026931992246275627,0.008508051986547693,0.0016651033645413982,0.009119296491796547,0.024249646031727412,-0.013226317561003675,-0.011486753062588506,0.005641819545169735,0.013564997815182611,0.015982811935086882,0.004399271428767282,0.002788526308850736,0.010420235750111972,-0.014994434437148207,0.005717910084128475,0.0047645339633843875,0.011253699460642919,-0.008122157063773838,-0.022042775118218505,0.009857408615007834,-0.030477078271529456,-0.015918373659589147,0.0046159118703454904,0.0009320699468819971,0.00358025435072884,-0.006230186357239487,0.009988933335691064,0.001768063806703024,-0.006924919128759366,0.010980065712337339,-0.008028692157479034,0.004840056221882216,0.00043544260000349944,0.005644691565237947,0.0040346872473044915,0.008359016799410535,0.002398959280262458,-0.016867392239254264,-0.010464438439409252,0.024390127516031423,0.002835701658397305,-0.009899756759343958,0.004329523038673955
2019-09-05,0.037538737693444846,0.009792152239664453,0.019947876974994116,0.004138766908551084,0.006446184140449729,0.004685636419797801,0.014801292188175053,0.021296062614406974,0.008104687181429648,0.01331751209159271,0.000676340129404096,-0.012685230983884077,0.01162023179575633,0.021578247645440696,0.010096223943372618,0.017839588277186902,-9.715521180564402e-05,0.019178566730954305,-0.01978025280575335,-0.011839531886401522,0.023287524347193278,0.012485785859305487,0.02423537424496436,0.012610554216274439,0.0019330850785190812,0.0035652433404547157,0.021257328499090233,0.017298263574866413,0.024082085657767927,-0.0021727329509313442,0.013675013026977378,0.011920691091549918,0.005906072192552347,0.0005573596178589657,0.0005811102985247008,0.03879310942588554,0.014233805846792125,0.010017453260486642,0.018138214701447053,0.021476519092285873,0.005570455472083902,0.02840103995137855,-0.007657780276515425,0.012614009341665122,0.017135094429234776,0.0243158893183264,0.027946616747029474,0.011085822559529834,0.003761926301760976
2019-09-06,0.010337039155666305,0.008802180843814122,0.0016293657864085986,-0.011574744761408962,0.00038543787558631415,0.02127142728391873,0.018509145136689442,0.002723703304451597,-0.004947323681654736,0.019713685532870562,0.023659004524138938,0.0185432631761433,-0.005418292225987442,-0.01589049730854808,0.0032539334525316654,-0.008444785091811347,0.014505428509763885,0.009653610461881401,0.023973773725815217,-0.007324108051416811,0.005822762969445394,0.011863954904070884,0.014889331551005025,-0.004366819501338992,-0.0043682805246861856,-0.0050356689268460375,-0.0003784380038761581,-6.486569780095319e-05,-0.005726437358747671,-0.0028776018700243933,0.014311646686413493,-0.004799408947479877,0.015773992306946427,0.009004560969590791,0.005459079595784955,-0.0011666260228447856,0.004403029805088776,0.009088689939024341,-0.00021403874332648343,0.00035860098149864683,0.005358290619752015,0.003503393773908847,0.02149637095490675,-0.002569741510974999,0.008173030221920952,0.01483714400628866,-0.004034428955266844,0.0014334891971727881,0.002810918237114546
2019-09-09,-0.0013461838297811335,-0.013605648179346175,-0.02115264194792066,-0.010853386970078316,-0.025947174240560145,-0.028737038919515512,-0.01782983712991193,0.024179509723851078,-0.003729405319409018,-0.03935555936586299,0.0305970111594549,0.05435613510528059,0.007409024996949176,-0.01703860206179908,0.009383680525301363,0.023300874384766246,0.007676830461921691,-0.0344349066055033,0.030318330292134377,0.007522825187681104,-0.04012547688772894,0.02329542619587177,0.011181740639701454,0.017056517440496854,0.007970321000855263,-0.07373379874394148,-0.00340732774287289,-0.014279302281083428,-0.016961518623704652,-0.009827838919196474,-0.002602327320700093,-0.02612902447553156,0.0013230524447707115,-0.006992101170850917,-0.03580942483497529,-0.00791261506131491,0.009040589588942938,-0.044520581545757776,-0.03699172997108702,0.00047774699890545946,-0.019060404697642364,-0.010269347335082224,0.008498896904611364,0.007336172289069909,-0.035956566517523325,0.03265101364425993,-0.0007825362025718485,-0.019035595736055178,-0.013781958560829533
2019-09-10,0.007953937596726135,0.022188981177817313,-0.011992539257322576,0.026796022704541844,-0.027033637832929447,-0.014793496710469034,0.010511884860255671,0.01304347826086949,0.009773636501747118,-0.010541505120092998,0.02413490634099258,0.017451962430343748,0.02336149344037919,-0.0026538274040687204,-0.014346389388956937,-0.0012564240355431577,-0.004380365202611869,-0.019876616720407636,0.008010490324251052,0.00854427979446859,0.004880058587678704,0.011307094297528852,0.020312338569789423,0.020603751843983664,0.004207999694212372,0.0016092539526086913,-0.01342278766884275,-0.009613429261991824,0.011294741491963523,0.020480618307430865,0.009508410672381507,0.00027019149794438313,-0.0066067436855244965,-0.004169308005373518,-0.021324769784950015,0.02954855665722489,0.014933778502789652,0.016917555363066716,-0.005551394454770042,0.020529605938093054,-0.01606978980483631,-0.008629458056404138,0.03912483822906587,0.007716492748684578,-0.021737904609741232,0.03256238385572119,0.02819364679914793,0.010504812474178005,-0.028659179889631514
2019-09-11,0.02969083545304918,0.01921407845979739,0.015742998866408175,0.011079871692294851,-0.005232004957049563,0.009312000953749289,0.0018811616106462203,0.012703891475824847,0.014003462329729377,0.02421307550782359,0.019395186425903432,-0.018788989059721817,-0.011202760063612205,0.007679435141487723,0.022240647747466813,0.006132003447019807,-0.0059300770055947805,0.021304724118735408,-0.03000321892149238,-0.011005628966906267,-0.0019242138668813524,0.014907293349142536,0.008992985088657868,0.03035985548804776,-0.00014461693136502696,0.01255459137712811,0.007316129739850519,-0.001196781664700275,0.04085205830977756,0.012504769783786118,0.00022977533329515687,0.0053108388242884,0.039834858764847825,0.01069954630892922,0.015056653549810006,0.026499310558530498,0.0008026889396790526,-0.001374480674534606,-0.004986293719036583,0.016491407378226963,0.01993549656086535,0.01879109538425583,-0.001673204583080623,0.0075279878998122385,0.012280019712132662,0.029707425284430267,0.03615749799343404,0.012778093255094936,-0.018938644830501783
