Date,AAPL,ACN,ADBE,ADI,ADSK,AKAM,AMAT,AMD,ANET,APH,AVGO,CDNS,CRM,CSCO,CTSH,FFIV,FTNT,GEN,GLW,HPE,HPQ,IBM,INTC,INTU,IT,KEYS,KLAC,LRCX,MCHP,MSFT,MSI,MU,NTAP,NVDA,ORCL,QCOM,ROP,SNPS,STX,SWKS,TEL,TXN,VRSN,WDC
2019-08-28,0.00671038121473333,-0.0016230257501959056,-0.02528936609262622,0.009154529664092026,-0.06743894833923414,-0.0002266936092727434,0.00856972435110448,0.019205295001774036,-0.005809290637452946,0.001764081609597623,0.0017783155154673658,-0.004321277199967888,-0.011330501828173634,0.0017095246730138847,0.009045146115108205,0.01753091992298228,-0.03722490460308825,-0.005201490536259956,0.011451771766950669,0.034029436455833784,0.00338403671618015,0.01212155755928701,0.0,-0.004484187550362395,0.00145562279309841,0.01671774590992703,0.008004452440842469,0.017570205518676607,0.006283564962360488,-0.0013261025031506835,-0.0015127753168693303,0.016729435617749422,0.00666526160493186,-0.0025984476769069786,-0.008398633977312886,0.005137319596299372,0.0058797006318078715,0.00043893157891683465,0.004473769211841949,0.006861537097637704,-0.005353464468145219,0.004583314893750412,-4.909474324898966e-05,0.014811961764406245
2019-08-29,0.016931660083769673,0.00965250613624713,0.015950093652283392,0.01423378175338108,0.0182039050430145,0.01349353417698751,0.030718719035067288,0.021767383409599494,0.022159331307286978,0.028524432645569364,0.026479718012466513,0.032924228648456566,0.027003984822993488,0.008534432253649138,0.018924247058075272,0.031478915236572425,0.0015414366292285653,0.011328822927139104,0.019867672714313445,0.02318630532364163,0.016863535909832805,0.015968941942315906,0.023585648350826105,0.01773399968014444,0.009638880776237091,0.007597079662347017,0.01957388955964201,0.021546782925798258,0.019910183430553285,0.01888486888748142,0.016382584911602605,0.03522622643349993,0.023066871835345282,0.03585197984600175,0.004042419036456968,0.02824433632940737,0.02369057809127928,0.03334550317070395,0.037539966696307436,0.0215345434112173,0.029715246784042915,0.006762413752664287,0.010697842850989403,0.030688679469414337
2019-08-30,-0.0012917170045007031,-0.0028681193420102558,-0.007396277713682675,0.007430209929228271,0.001332135139183066,-0.002797046405038195,0.01500764428168111,0.0,-0.003473939282353178,-0.0009131213408825056,-0.0025762368210220377,-0.0078237222891413,0.000897838090693881,-0.009731311490081773,0.0001627970960111913,0.004761166356536339,0.015518826597740842,0.0017236195267655852,0.004689422901830165,0.01023381325622763,0.011055915446080755,0.00481880915429822,0.011521277308342182,0.004948656818713593,0.012804989362896313,0.00041314723872565295,0.010452766833902505,0.013724441047962666,-0.0027722819831033085,-0.0018825333496721441,-0.0013800404455168724,0.013431760221339628,0.003340399723195109,0.003053576034675487,-0.0019172266871740895,0.017266516488618322,0.006835455743974039,0.003538320066792666,0.026369489634114007,0.004269520198247001,-0.006642858187139278,0.0014565213442747638,-0.010244643427723465,0.039760452845165606
2019-09-03,-0.014563580490816963,-0.012211667408438598,-0.007240509957068819,-0.03141242872273142,-0.011693133609377626,-0.00011213404178078701,-0.008538160109805348,-0.01748811227557423,-0.010281536851370121,-0.021133149060281853,-0.03039194740283102,-0.004965010961126559,-0.021400679910803966,-0.006622564174159851,0.00146618638915319,-0.005049280805229817,-0.014523900573613746,-0.011182890797158063,-0.028006932175804633,-0.023878598622687708,-0.007654729865947618,-0.010550901092138742,-0.009069922084592563,-0.014426185647646417,-0.009052079536567503,-0.021371047716088887,0.013725490470094082,0.011543611274723364,-0.016680135742380475,-0.013201881493235201,-0.012768789267957659,-0.00618516469547814,-0.013524895920654978,-0.019938688095770374,-0.0032654813031961494,-0.03407479995695051,-0.013442189475410093,-0.01791124271815414,-0.01095403189749733,-0.014614148090410062,-0.023788518586742913,-0.01624223221702692,-0.00833953378450114,0.0034920398879139114
2019-09-04,0.016966368506991625,0.01001273636252864,0.007611944781607871,0.026415069589179163,0.02260008912041256,0.01974859125443018,0.03990761870702397,0.0016181600332187962,0.008649527395238499,0.011786488332039768,0.0327312091838694,0.005283249392078027,-0.001767744421944606,0.01763414709176825,0.015127023638108472,-0.0016395930783140722,0.002434967765062357,0.013919157310486874,0.012190644952952523,0.019273845054431415,0.01157028978168717,0.016554820839097317,0.041294202997011586,0.007424425238845123,0.019024527298382443,0.011077069440045495,0.004802278150961348,0.040668352705142574,0.019201132381333696,0.011688222611226484,0.0017917903830757531,0.04045360993267333,0.03670116221250441,0.027958380825919615,0.020813122742741275,0.02622440108148294,0.019263435492970382,0.016155668349074004,0.050543854435107116,0.02494255682373292,0.021223964347573343,0.023410331677537144,0.006826734633007092,0.032364767391075855
2019-09-05,0.019551849216773665,0.009003230372286897,0.011068144163491889,0.03507621661275473,0.02688100998513021,0.01826588591855338,0.016966172762580944,0.017770572649520977,0.04044560548148213,0.0356401103015922,0.028266490248736176,0.03080292861827094,0.008592301596699325,0.023246031548453727,0.029642556142520426,0.02658951632790041,0.02774220532490923,0.006863831704665202,0.04306557393591803,0.04727243801461145,0.029956691534668067,0.03411076967707993,0.02412102360307289,0.02095661625557388,0.013483533722230101,0.03610190782633893,0.002323225595035394,0.023195244354923483,0.02669915434639658,0.01758286848220947,-0.029901669355912097,0.04742562848741816,0.05310271515879239,0.0650635092485563,0.016424987590027085,0.024646779025182086,0.01710932766240858,0.0313029433439842,0.0369943917858484,0.043541542489750285,0.03925649987136426,0.017818436324347875,0.014985390160570766,0.04415988110770752
2019-09-06,-9.386373475828158e-05,0.008170712712222583,-0.009765412888249392,-0.0030966727421307683,0.014370563117462654,-0.0077804323922620044,-0.004965379851074148,-0.029841286795479927,0.0013594700432986162,-0.005234249104775324,0.00305851564478532,-0.008639011543389419,-0.017558693692465988,0.008674250316039078,0.0029567074186924724,0.012874246868298522,-0.0036073305398112154,0.04473809901582926,-0.008747311863635199,0.011805719276128723,0.01004738704467667,-0.0028377846229734605,0.01636736016342355,-0.015429257455662926,0.002850872667750526,-0.012588116430857221,-0.00013229356386679214,0.005204324151550699,0.019025432833120304,-0.0067830515018306725,0.0070865930213783734,-0.0012237738943289278,0.004250456698006833,-0.00606462755913717,-0.012630707567026445,-0.001899224876784289,-0.0003997563422261097,-0.00301474786301148,0.004251312954300035,0.006806770141782215,0.0035973989499964443,0.002208315359778945,0.004792405550692269,0.004681054015178487
2019-09-09,0.004267062695974877,-0.03127511644181913,-0.019793692005731223,0.0017750894807790907,0.004456256346833998,-0.024286684429811634,0.011177827060282253,-0.0019633333439436074,-0.019389020469241736,-0.003918587449035171,0.0023977457226991294,-0.022714233398437478,-0.010127873054181613,-0.005323541108631535,-0.004189257438710681,0.013312191067205159,-0.013608015340702218,-0.004485995085956707,0.012707348183953693,0.026081082958468338,-0.004711734246723331,0.014441287519548318,0.013157765518025943,-0.04134833365113666,-0.00196810458237473,0.005915289990903849,-0.0031131774362604947,0.010617497976081358,0.01491371404920927,-0.011358765737954024,-0.01790635728983636,0.0032673689767146463,0.053866836035967314,0.010355312996996657,0.025959385509288113,-0.007990737016777105,-0.04800515032279562,-0.02920761569955488,0.00828264044740501,-0.0018778607681626536,0.0025303124051392345,7.866856016103263e-05,-0.0274125698264438,0.008194285507059584
2019-09-10,0.011813099249678771,-0.026535819750717393,-0.011313903625637,0.009834373823276676,-0.019666276894979018,-0.014622140999460131,-0.00927757298446763,-0.008852474025038415,0.029463926858161793,0.0070812057321694155,0.006254112660700084,-0.03859094982778377,0.0007356554454385211,0.012968183796078003,0.008725484069548095,0.04564691865433179,0.0025313227273227046,0.0008191682869240768,0.01742770646279168,0.017052060559590076,0.007426704902289805,0.017181287061437622,0.004458315959521952,-0.03022837252876176,-0.016652050904087723,-0.0019263390175663364,-0.01169346751506739,0.006946164327321203,0.007619213150373616,-0.010471206968634683,-0.042173988975115595,0.005291854620666614,-0.004928681848824112,0.014847867662940883,0.017052205960591538,0.006392700047612276,-0.007984062569067585,-0.04254562325177702,0.01004028557238379,0.007275213679863501,0.007046327523878793,-0.00047219314341406804,-0.025609195731349232,-0.00764958582228803
2019-09-11,0.03179501651802563,0.009016383998110333,0.005938958658154858,0.009300042178107315,0.04471458953549079,0.014952420854969173,0.027296204936722024,-0.015547446922644648,0.03727828455146698,0.021205283111174422,0.012124702375563956,-0.004561280791777422,0.029669297983657472,0.016663416261569308,0.009576689271191041,0.010221482052077402,0.008079804275834546,0.012280053207059272,0.027063879115299505,0.01855510275641059,0.003686074794062577,-0.009996648592989876,0.01871861367968397,-0.005344283541133588,0.015820000686781466,0.0009142252708109755,0.012773066040931091,0.008924986050663941,0.03078765893027713,0.00029419160006072254,0.0053520774618183165,0.022069506955194385,0.03137026931233544,0.006277801903733504,0.014782621266662188,0.0231783491776818,-0.0002821589467817409,-0.004510170871360852,0.015904557911464723,0.03997552950305017,0.0024015183689856112,0.012121918279952348,-0.030298526169838302,0.03260000050343215
