Date,AMZN,APTV,AZO,BBY,BKNG,CCL,CMG,DHI,DRI,EBAY,EXPE,F,GM,GPC,GRMN,HAS,HD,HLT,LEN,LOW,MAR,MCD,MGM,NCLH,NKE,ORLY,PHM,RCL,RL,ROST,SBUX,TJX,TPR,TSCO,ULTA,WYNN,YUM
2019-08-28,0.0013735967509673763,0.020488748164057657,0.030898018517074854,0.01739900233594338,0.011463547956679365,0.00859868563027244,-0.0032892937536940225,0.0014306188868216108,0.005689337102223746,0.02794859449633713,0.007161824033370179,0.027397281295471254,0.01532470374832906,0.008537161219254852,0.0067662137106512255,0.009416211706063216,0.01713883674709127,0.00855914660396273,-0.00178195502184042,0.02018113262333099,-8.002419020602947e-05,0.009349807521196185,0.008963760488820638,0.009777949495708427,0.017676798412759265,0.018040946208260245,0.0008984721002562868,0.013854822791791177,0.02715981788818489,0.019302154057025733,0.010198584476008854,0.022467785181085498,0.0004884790179038312,0.02847055777880847,0.02041577692014407,0.011233536164071412,-8.543716464615159e-05
2019-08-29,0.012554889043934425,0.007498792267171872,0.01459430293287256,-0.07985502046481574,0.007796173498787473,0.01382488142313254,0.005123099133541809,0.0055103022100631005,0.013644033204326611,0.010975304574205369,0.004869293598018576,0.013333268608607618,0.012898201077500282,0.011173576080105274,0.007093572182598429,0.01727154595879643,0.024195027190810237,0.006854264255023335,0.015869610302928105,0.04076519150748803,0.003111853087626404,0.011326395471398909,0.0003555442671228093,0.01331450174451021,0.02275944030295496,0.0044824084964001365,0.0077797887389026155,0.0019383645959942797,0.002849442981994743,0.024387676086633503,0.006490063304919191,0.014466428237307483,-0.010248830516232155,0.018487951618949117,0.021399622312877398,0.009495011285301613,0.002992266643841779
2019-08-30,-0.005659435682760394,-0.0015607136763172713,-0.01079277365996778,0.002520176942698127,0.004736445991477822,0.0018182595121234435,-0.006187510647218675,0.004059358776182576,-0.007058315417323602,-0.002475959593220667,0.0006924395537246664,0.005482374601956996,0.00487633398625964,0.007813548035799922,0.008032806248880586,0.002996531621149545,0.0025952740561230314,-0.0018367926009104085,-0.004100814033953459,-0.0034633254576027506,0.0026245897284882247,-0.006427034446520041,-0.0031973827127821375,0.010352388264037726,-0.007749751529800841,-0.00435863618630028,0.0035628216427754378,0.008705726909600031,0.003977609098309687,-0.010269767316851142,-0.011668157622765185,-0.007761835141303464,0.018244442197654864,-0.021513928961196083,-0.2955104841374617,0.03602320140702586,-0.004517715534949285
2019-09-03,0.007628234940805445,-0.019357918047184786,0.0010347871988214408,-0.006912945307384399,-0.01252534866047339,-0.009301295956093303,-0.012583218439781052,0.006468333333886855,-0.012068249689230703,-0.013650941428858476,-0.010146137559502222,-0.007633093725035178,-0.0048526707429914495,0.005648577346268224,-0.004413081267921948,-0.009776372900462516,-0.016848717097210475,-0.011475667904704778,0.0033334370379904943,-0.0090912899220007,-0.014199571931591715,-0.003853781290257041,-0.03456869797301265,-0.003349717614685943,0.0020118484811062487,0.00026063519839580884,0.005621582238438894,-0.01371301561407512,-0.01584779480158749,-0.009338928270939295,0.002174687991193469,-0.012734193361361168,-0.010169421293607539,-0.016587879728031885,-0.0013460315112966414,-0.0437582276761711,-0.0005994800186733817
2019-09-04,0.006022901313268436,0.03224632088987822,0.018035431971392013,0.01139063296792453,0.008759964376719998,0.005037839430596991,0.01257446566843834,0.014259764218131243,0.02175390238964625,-0.002516349543827512,-0.0006213065867574086,0.010988769112352026,0.03603361790221249,0.008700306741917574,0.01650029950586185,0.001645512559570017,0.006466021397615318,0.010842213284014246,0.016025036820978222,0.006656127160488801,0.011426832596005632,0.00630954030066011,0.014396514866460652,0.009094485326614388,0.019841552670834428,0.012374262868863672,0.013827425557734419,0.018376258828285863,0.03289593471071228,0.009045925124566478,-0.006820271130013045,0.002395304454952285,0.05137006128401156,0.001097879153030945,-0.0364348975268306,0.034083104022106125,0.010110528031006538
2019-09-05,0.022270161635782326,0.04727402563899186,0.010528064582277397,0.028625041476628033,0.018200119171590368,0.027796751954360266,-0.0002028440718393476,-0.010693017550376882,0.015885748723243998,0.029263615146977395,0.022144530964559817,0.015217425292589626,0.022979054095546347,0.030090088043873253,0.006056903818244974,0.012959507457780184,0.017844979068340594,0.01267601915917016,-0.005770342187010891,0.020460935394972957,0.022038411432292015,0.004530989783414263,0.018194997251194334,0.0248824536634622,0.023972117989527142,0.020509016334062213,-0.006094197092551323,0.02100443931601248,0.04966637383825523,0.031990458506752306,-0.0057225270269618544,0.02518402835700262,0.08358516402784955,0.026720111807628344,0.03475263331846978,0.022126260594276692,0.002290276943271552
2019-09-06,-0.003916990505865581,0.006578163096604195,0.007756382723243638,0.008971868035593467,-0.013442476934030445,0.013522494550359587,-0.002135699834551197,0.003402895811150941,0.011446195314586793,-0.010539656589033775,0.0012160926514290793,0.0,0.0012909941906311673,0.008230189119857734,0.004936802556106734,0.012703796454687888,0.013061708360681212,0.002888657315188281,0.005997259721915338,0.0043778610615237135,0.007550887658434036,0.002460174707892726,0.011436721249048265,-0.003632239273907989,0.0030539358277836826,0.007942877078891186,0.009343082098715927,0.013745962418164615,0.003394840012683309,-0.0016462242848033215,0.0018832446193011165,0.006634013523492577,0.03359503886296333,0.005437709196722151,-0.015250730885725927,0.0009882116495891768,0.0088861496533863
2019-09-09,-0.0011780869502403535,0.017577435121854945,-0.014125303843879333,0.04325574073619731,0.012512633061066092,0.041338556034430374,0.003981663162266447,-0.007181346783516895,0.016656201058436793,0.025514302902841957,-0.0037959990094719176,0.021413241096934543,0.02062895979338797,0.010706931015108667,0.02012910720453287,0.013701349068806934,0.007528200929503681,-0.012908002216395209,0.008461574730004973,0.0006974046292731462,0.003708553605239917,-0.012589379130375167,0.008164670527731843,0.015732918488656766,-0.0002257206578260007,0.007229893034257584,0.005495776524612417,0.020293377079624086,0.024000863006844453,-0.006319721092409081,-0.016502672578470268,0.011578262599734934,0.025327209425946018,-0.009271889937301325,-0.029772639466703055,0.0288045685980447,-0.011743890640754984
2019-09-10,-0.005897299060526495,0.004982802510408169,0.022498521757776224,-0.002889775728513122,0.01330648902649978,0.04305821656106135,-0.061537523193033294,-0.006831524542856959,-0.004860297476021236,-0.027294764839324137,-0.00792615368244054,-0.01257862432824619,0.0,0.019299306801372262,-0.014446639379534942,0.02290669079058083,0.0005580593618119689,0.011347731954665097,0.016399749521150753,0.004268475022075835,0.01370178561012847,-0.03488879872818207,0.014084435212291524,0.032678496167612536,-0.020750926772338363,0.012567694544337149,-0.014383955627890632,0.02838791193399337,0.01910141603975979,-0.003041815980196927,-0.04046297955390832,0.002289162875612316,0.03622893916436376,0.03714156762952414,0.02325784586869095,0.019537809528217043,-0.021560114397442987
2019-09-11,0.0013402724765312346,0.0037462155620582305,0.0037915881584758004,-0.017096137491019014,0.015554183708087033,0.0010067596835721115,0.014251620773151785,0.000404530576288753,0.0019693288567166345,-0.00918800935458508,0.00291910858487765,0.0,-0.0030316416149031022,0.008952791713059183,0.002979579998861892,0.00806503297242589,-0.0014589893205718685,0.01709747692814889,0.013133374585651891,-0.015527351139255186,0.010631137640109145,0.0024797867438308696,-0.00173604370726399,-0.0012804041918549336,-0.0009215372900588381,-0.0071379602116544705,0.014886396782504363,0.0007033689233162388,0.01681880805375746,0.0037532476174058083,0.00697267779410482,-0.0038650353582286856,0.024235133388009977,-0.023874315579639704,-0.014130171542364733,-0.0219863983494194,-0.012752560264543411
2019-09-12,0.011278173776551048,0.0005488529629475991,-0.024072620923115795,0.0002948783278513556,-0.0042679607839001266,-0.0018104884807880195,0.007807693354099365,0.0064713668468228125,-0.008962117537228087,0.00977435628012202,0.008425902395418072,-0.0010617264042366292,-0.009883260677371997,-0.005405797769511889,0.016159441972571242,0.01829954132522449,0.004899901510771132,-0.004307600098773401,0.010740484001211081,0.0034366255234132836,-0.00435810125693048,0.009276967533309532,0.014608664858551945,-0.0032967089781348324,0.010605050161248464,-0.026854754226771416,0.008627414273735257,-0.004919557641072103,0.0021921140134626427,0.009694669950402801,0.01187084157397833,0.0008818957516396608,-0.007757885303756429,-0.04342799420260768,-0.008722289229066926,0.024142672234531037,-0.004657362438058921
2019-09-13,-0.0022835833039022146,-0.010641839352853455,0.01788203073062178,-0.004715693920853026,0.011016916969315504,0.018742473592421982,-0.021838663328500485,-0.005626058465063477,0.010153841425356136,0.0019854930210965183,0.004937260067460425,0.004250776605478679,-0.005375301936709431,0.011895181859030268,0.00459099988615197,0.0011702312537476,0.0007699819988387091,0.01350647883264755,-0.017588595476162427,-0.004566245230095967,0.011169075982054189,-0.011029798330284057,-0.0034281788195590357,0.004777694689060752,-0.003992187273970993,-0.007743065469486998,0.005133059471983836,0.013772361857015136,0.01670308601415038,-0.0021033451857889185,-0.017162537450634896,-0.002995494353014272,-0.01563734398689176,-0.022548375614213412,0.003095140329445689,0.003245788594448573,-0.01686244987552099
2019-09-16,-0.01712575737502442,-0.006542570917524193,-0.01618430592545428,0.020284059165170065,0.004384700745754921,-0.032245314426067706,0.015243827523258702,-0.009294915466896647,-0.003376727786356337,-0.0017336916154709892,-0.00770973197741931,-0.015872922167231462,-0.04246019085339181,-0.008005569223842657,-0.0031639469925084374,-0.0059275470315556245,-0.012779046181749187,-0.02488273496247506,-0.005222078382818518,-0.006439603511780856,-0.02619612639992297,-0.011486514526023561,0.02132799699940824,-0.02450622064939989,-0.000572473062183998,-0.026634267360739483,-0.0014186328588626784,-0.007837725704766485,0.008703273770882758,-0.01411176893626942,-0.011715669708234788,-0.020325362947371417,0.013105598874878721,-0.014830079186730738,-0.006215303086995694,-0.007321797221047532,-0.007363234221454018
2019-09-17,0.008136828085409498,0.0005581892863255611,0.022411657840808896,-0.007110544679079123,0.002166100600770715,0.009198790511527166,0.03235520126096225,0.013461268333231358,-0.007170429993894167,0.005707127199978013,0.010740386569400684,-0.0021504910064955585,0.02902502052800293,0.0010216200278523324,0.0016459186335380238,0.0019318688208669332,-0.0033768645200383807,0.012812236704646152,-0.004499552620055636,0.0008877006255096909,0.0006131184110664822,0.011812717384704685,-0.003031335464452445,0.011623526998709277,0.0036666869856751827,0.029255621160980905,0.009119397216624137,0.0014042334291120007,-0.0397479673961777,0.005112209324238393,0.014873838934956973,0.008298686065870253,-0.01372008119218382,0.005435510545137134,0.03725885681516283,-0.0228988580907874,0.020444713995418473
2019-09-18,-0.0027928049815375555,-0.001450243031379972,0.005648814270653224,-0.011336932218693585,-0.009179560059584313,-0.010735349981327746,0.011165641252597336,0.013483552436377,0.008968007915713505,-0.0041945709233344175,0.008440805144272145,-0.0032329418786060105,-0.002872930080302094,0.0008163662143623185,0.008449821119786316,0.0029336656635561287,0.002693309576315084,0.005165223598002866,0.01977409964044563,-0.0011532647550298591,-0.002833835313155064,0.0027635832456800458,-0.0030406176410757713,-0.0014825429524597533,0.0055945550942986255,-0.0027581467218028566,-0.014120102105448895,-0.009641358762466856,-0.005148625466909196,0.005270983605332846,0.002314112638032384,0.006799335211995272,0.0007949235995536874,-0.02734454950626397,-0.019285908265611162,-0.009040507604613723,0.01578027606982113
