Date,AFL,AIG,AIZ,AJG,ALL,AMP,AON,AXP,BAC,BEN,BLK,BNY,BRK-B,C,CB,CBOE,CFG,CINF,CME,COF,CPAY,EG,FIS,FISV,FITB,GL,GPN,GS,HBAN,HIG,ICE,IVZ,JKHY,JPM,KEY,L,MA,MCO,MET,MRSH,MS,MSCI,MTB,NDAQ,NTRS,PFG,PGR,PNC,PRU,PYPL,RF,RJF,SCHW,SPGI,STT,SYF,TFC,TROW,TRV,USB,V,WFC,WTW
2019-08-28,0.002858348563969937,-0.005498595422278152,0.001571965055517266,-0.0015899404264698713,-0.0021434982722179363,0.00487059148859581,-0.003086822451232041,0.011380074731258905,0.01435572855949152,0.0019265569754169931,0.008111576965859513,0.0024418357579725214,0.010587299118259619,0.011352598917029777,0.009451982856613972,-0.0008328942153195129,0.030417128294377482,0.006431906297990064,-0.00212735390995078,0.017807766148600246,0.010185529596844933,-0.024597901569703762,0.0020478616553385454,-0.002149965878821325,0.018577128441858992,0.0064721578741249175,0.007459230280105089,0.011864736566378209,0.024681798413976885,-0.002391103504247316,0.0016109046070940103,0.007837794100787443,-6.985573912288157e-05,0.010024511207597842,0.02150535554526556,0.005268879801230142,0.00578332084757438,0.005110698278701253,-0.003420089872623655,0.001845111551939338,0.014827941004276868,0.002162335970483653,0.010288002955464393,0.0026456496411977337,0.007456587943809545,0.0,-0.0013337357896062718,0.019576187810997903,0.0012774390009362424,0.00018616695521478377,0.0180506334128836,0.007665985658876107,0.016888454234969652,0.0056753161385694195,0.008299375537236475,0.01847734321489458,0.02058270144748464,0.006443656790210639,-0.004962492107774441,0.010580018805274483,0.0016255202451689321,0.016089771922199292,0.0054898424073022145
2019-08-29,0.009771897838609211,0.00019049588421760077,0.00735234966876086,0.01001118106786314,0.0030417057035794226,0.020500447355030538,0.008606783427930642,0.013855078152639422,0.017876897896946575,0.013462128635991277,0.019814261691234236,0.01632155618116693,0.013719132161972958,0.02469523663439066,0.0023565701793748506,-0.005518369875088802,0.019172095282450563,0.014221243445437182,-0.0003239526052033481,0.01926932124937486,0.012722077215103322,0.0015864774303195883,0.0023357775613923604,0.008337230816378716,0.020954830924275303,0.011368709925936749,0.013277766118977352,0.021438603333234996,0.02719517886653966,0.004280334493822036,-0.005253461086931588,0.01231376633524306,0.01690158908919881,0.022659262944894065,0.01857574179103083,0.007966432090360964,0.011285675121478489,0.009330138573404145,0.00960876357617746,0.014937274985232118,0.022536092467418056,0.01674387630830476,0.01334804912594656,0.012585417514040298,0.025258517809004566,0.013140624333223716,0.01242341266258884,0.01374859581889698,0.014542370232336177,0.01619056732020674,0.026241229609099692,0.02675731903012535,0.028042727698430525,0.007846225044799704,0.029512233312265046,0.00907077987639382,0.01716392257801469,0.020599706169458498,0.0038942638697423426,0.015703336110858723,0.013992162758341253,0.01583438764285927,0.016587764237747438
2019-08-30,0.011693333247535742,-0.008006009013520332,0.008692769945360723,0.021739081445993236,0.0016631411484269165,0.004282459136283334,0.01384040289857924,-0.003064386668824026,0.006586388739703963,-0.002656783266378082,0.0012321994315684925,0.008149970769348647,0.0010334976231356485,0.007042521340450358,-0.006926806541865949,0.0018496871544955162,0.007465006364018034,-0.0016863252258512151,0.007417762824106555,0.004639338191770204,-0.0030403383432965336,-0.016715950176981575,-0.00808288142173541,-0.0065031303624245584,0.005320953839399234,0.013512356916778101,0.002294761841828752,0.002310358955132097,0.002269162058782914,-0.0013710170642577957,0.007544592415432705,0.00512168972426541,-0.00027594870023905926,0.005859668275701946,0.009118730695836241,-0.0002079087407919067,-3.5663825109999436e-05,-0.003605053463153096,0.0038525471342778506,0.0069557683043579566,0.004843571404236746,-0.004159459297471413,-0.0004787055863521017,0.0007010762011170346,0.007563166469972904,0.00037577639047658984,0.00013172891440471624,0.004910242253776564,0.007041631328996267,-0.001464980647407188,0.010366325933383935,0.0029382645700064547,0.013506116794624656,-0.002147864931850374,0.000585182167394116,-0.00650934375646095,0.0050622218327478485,0.005727714939103734,0.00013643041396504962,0.005726633061162056,-0.0019317424439039277,0.008226936885206593,0.012634470903407191
2019-09-03,0.003985847924130592,0.006917939789930827,0.0017073727958880625,-0.011575490187699544,0.0014648086628230583,-0.013800381036691789,-0.011496041235730003,-0.023012431274288425,-0.016721324204836074,-0.009512842286177436,-0.01595012352914782,-0.012601419503233457,-0.012339657442779761,-0.014452604450001627,0.014589773612531776,-0.0005873482990128576,-0.025192681115284055,0.0016891737221096381,0.002163081444803039,-0.014661748403627661,-0.018364546182433994,0.030663517389458717,0.0025696214320958255,-0.01028619860111124,-0.02684271475188449,-0.012547602392310453,0.007651400460274349,-0.024226494703318835,-0.02792452470762341,0.009780251585515876,0.003102266776015661,-0.010827956482950207,-0.0026906093876311044,-0.011833102596223943,-0.022891792467398808,-0.0018723023066754552,-0.0044781141019003545,-0.011318180064153194,-0.008352335406651923,-0.010912032892065437,-0.0120509589648925,-0.004858613133112977,-0.022022981960316046,-0.0031046912327501452,-0.014443863340014684,-0.010334453190175896,-0.002374855158669198,-0.01683084694840431,-0.0181046705993404,-0.021091328504257545,-0.02462381740461561,-0.02025205293228327,-0.008100396357496709,-0.005841857407026918,-0.03254759331881085,-0.009672315081430183,-0.019936939638695916,-0.007864791008731387,0.004150489934203749,-0.012715787489626762,-0.008959053338851608,-0.010306917670826587,-0.011668765902441036
2019-09-04,0.008138223542519807,0.03816778585515479,0.004788498363371474,0.004015252137975045,0.013263083305472989,0.01627338304755166,0.014485116793468977,0.006802803778776179,0.01626647227729361,0.007683158871837348,0.007563046248213023,0.00939056471511579,0.006421147755666823,0.013560583880419141,0.008135594314411465,0.0007556159188228939,0.010945524733336764,0.008697202533192838,0.015154254856635907,0.007147118210826697,0.017718051638381915,0.019406670040725826,0.008420515454107269,0.004251744077920172,0.008158271437692433,0.007034239200876202,0.015545586971552838,0.01387153737224911,0.013198667742314818,0.014613573262757695,0.005225893789289282,0.004507375987554463,0.008715701581949231,0.01206678313132592,0.01109744517266309,0.013964150775542583,0.021384665721749574,0.002627185131884646,0.01274766926084725,0.011841927095567195,0.013174174849231335,-0.014090589686146626,0.006923229062905101,0.003817953682606623,0.015001096352763366,0.008442131464346136,0.008463497609319193,0.01427908788900134,0.01284317834872839,0.018548059565156372,0.01262272846313195,0.014430416114455724,0.018703816387057204,0.00204887079310212,0.02497999638248749,0.017643456400196156,0.013061911670835036,0.01120724739167489,0.01755085093574338,0.008458214933349861,0.014341444602239184,0.008895576895053381,0.004395570515952407
2019-09-05,0.006694196121165064,0.005146803791594934,0.0004039501278350066,0.0015629333475322138,0.004620044107141563,0.032026465873521426,0.001023838985870329,0.019172264004712503,0.029659380794107237,0.030499536253622894,0.021845774651864103,0.021469448316133066,0.01013899315992095,0.032047082889093303,0.0048797843405739005,0.0002515183229345741,0.028571375429161217,0.0023755135009941863,0.0005429019229554743,0.027454643734722284,0.014826787578154477,0.0096605678711712,0.009657463803983024,0.022673779395581795,0.03082834977810167,0.023433854180919367,0.02937859850297153,0.026371871072276676,0.03754808439119173,0.004689399731416355,0.004985786643287415,0.028846135428019837,0.01837750062558907,0.022754284966625127,0.03902451047079536,0.006371834162482104,0.020901749887614285,0.027515660990988566,0.032816519953156265,0.0108035333276435,0.022634146186215842,0.02271908756440877,0.02166985239682062,0.021119343574653948,0.02341961624320943,0.02549463409761521,0.0035403076831934666,0.023255819283572787,0.028499713478291833,0.02510805623926471,0.03675184672809384,0.024605804322326064,0.02456679496935177,0.021720879986567576,0.03125016356888999,0.030340401140681816,0.02832395476254357,0.03667340376741013,0.010522229292010188,0.01544001561238284,0.016284325029885194,0.024085905245775807,0.005953318364700921
2019-09-06,0.008605532685814099,0.0031093667427681826,0.004521746034122698,0.008581147419197688,0.00890961602498419,0.010043937958900795,-0.00163625289116065,-0.003977838823956303,-0.013869028451065635,-0.004069393111214792,-0.002095448058675231,0.004904503097423962,0.002399090389719971,-0.005576921136512092,0.002489903814907324,-0.004277888259247242,-0.001754365343795028,0.00886500239020549,0.00854490813349984,-0.0014718657673985502,0.00036365276033634153,0.0010453748720833378,-0.009924969856511257,-0.0007359172392455982,0.00037385670029665974,0.009247132057488061,-0.00268812812032182,0.0007728511408227057,0.0,0.005501059577575962,0.001689247377477443,-0.004361342826364467,-0.0024982085030545997,0.0021356552209219615,-0.014084548804260022,0.006536063456098917,-0.0023963145465100144,0.004371740008836111,0.006093633964331824,-0.001385391332100916,-0.006828360676600642,0.024805663696470637,-0.004486248366296075,0.021956277345884567,-0.002221712280852217,0.011131714465002496,0.01123718814791097,0.0012159381826166715,0.003051952069025754,-0.012650260472595765,0.0027005187633601935,0.0076299365342265,0.007067469277858951,0.011025794335726369,-0.012007036582415753,-0.012019312015226324,0.0014385392572253686,0.0049545106844115505,0.00724913199650401,0.0026282874931837785,0.005467311023981125,-0.009869726101380483,0.00030369806428298673
2019-09-09,-0.00950169099294118,0.010209405550109185,0.001848518540267241,-0.006961287019479512,0.004558271081577248,0.023154016616610207,-0.009473403114676482,-0.0022464878240068265,0.03245539598527025,0.03194636446732435,0.01656337684487541,0.056936919400248476,0.00923166819269472,0.042746533055381786,-0.004781737552852938,0.0,0.04628013264947528,-0.01339822714653327,-0.030316603232723227,0.03140922845502003,-0.03994854041199136,0.011124602738418421,-0.02781992714204229,-0.017860452884837508,0.02877443170107119,0.015488776756837908,-0.020473732278867174,0.023020058508315344,0.04652863022863807,-0.00033187451273630764,-0.028559715829429067,0.026908625568450528,-0.0015566318316792005,0.02477608534615161,0.05178594917295598,0.006696307557264802,-0.027524852548935885,-0.014373883146380773,0.0036769192404217943,-0.01030651693130158,0.02204809973588784,-0.015584037820435714,0.052649289406879296,-0.013620131500574506,0.03707458776791639,0.027706270384700415,-0.008398575341208692,0.03469477651067754,0.02470477331022347,-0.0419809121210023,0.040404235368912245,0.021226671504186223,0.03007499307453898,-0.026106403726107286,0.04166678516035782,0.025243251590467475,0.03366222385756368,0.018162579054157746,-0.018352768979887246,0.02808470961654863,-0.02255813198266965,0.026723132072206335,-0.01122604485791412
2019-09-10,-0.0021535771284846295,0.0016242783607451905,-0.007140511226972124,-0.019917514387256308,-0.001040008879180876,0.04903192025816283,-0.03174288074327325,-0.021764548626009073,0.025148629120409938,0.02411827342301054,-0.005825698884393216,0.006596469978935593,0.008179278295151082,0.002761775286951984,-0.005865412914786816,-0.029233539598710667,0.01567735346062804,-0.014285760217606969,-0.04708216803729737,0.009564894181256056,-0.014765025667117126,-0.002979177716885828,-0.018529640954358162,-0.028027726426848032,0.014166215842210672,0.012567156178368455,-0.032435420536063964,0.01721868317163877,0.014114405393933938,-0.016583706064832615,-0.02234743038819209,0.03839121617866348,-0.032879217059215926,0.012738265278047,0.025466587707502875,0.006047354109588676,-0.03892583828176266,-0.0271886891002886,0.021982974596645333,-0.01792327906722435,0.010902356204078645,-0.03822986966181707,0.006097823483653286,-0.04560478986507721,0.01417068425605894,0.01142665765048756,-0.007949134262388857,0.011739911114109214,0.02980980126154753,-0.022574227780398082,0.03624590389878968,0.02455281053055547,0.020681143624053933,-0.03225203941953836,0.08962952531849844,0.002669979981682946,0.017473969887047858,0.0011042578823738936,-0.0178248829342732,0.01730117359452321,-0.028642615265381477,-0.002065690993315439,-0.029867938137977723
2019-09-11,0.008436665783538633,0.019819786744711854,0.005575829758310613,-0.0014761347385497947,0.004447357759273629,0.0064989911648152265,0.005819935395562359,0.0058820481981198824,0.0037477048942000657,0.03620363036073937,0.010482438151954154,0.012232332469865437,0.012481427363006281,-0.001159553834062299,0.002636185519534928,-0.002082643430372677,-0.0019293676981061436,-0.0026836708050049785,-0.013873519111084809,0.0028313071973455894,-0.001607007465111554,0.015138232505603977,-0.0005329785340710824,-0.016298605474151184,-0.004656112453403027,0.009122381328353635,0.0023597415320271153,0.0054258496771510956,0.016701169737819654,-0.004384389099247432,-0.011762005007480814,0.03110323967205275,0.016542766128173403,0.002737818608945286,-0.006622536966145454,0.002404291330276642,-0.008739046601757172,0.007708283503981006,0.011598302802177773,0.006627298739861454,0.008260562510696179,-0.007529683229132833,-0.000516005389129992,0.0003058165679477032,0.03069738858488824,0.0005295582401290133,0.0019705900560937906,-0.013706374165999624,0.015107935052806054,0.009412784231295657,0.014366154584456003,0.01767722342851119,0.01930869691626702,-0.001386813053166902,0.01971452368145732,0.0038463234763457255,0.01736922558007281,0.019007255499101428,-0.0023198321365340835,0.0016110763326979693,-0.007768327597698521,0.011177556478167983,0.010807411563758196
