Date,APA,BKR,COP,CVX,DVN,EOG,FANG,HAL,KMI,MPC,OKE,OXY,PSX,SLB,VLO,WMB,XOM
2019-08-28,0.031965494117129456,0.016439796536550144,0.019026999473465978,0.0086330498123115,0.027178710748123835,0.012140707525042371,0.046118667528231905,0.039861397480390526,0.010977664906547613,0.02206021457480989,0.017710690364352688,0.01794564393186837,0.017456394911313566,0.011839934017686016,0.014642251850433441,0.017888710447081513,0.007292590953717815
2019-08-29,0.018954904918172977,0.011090157759149788,0.006544899875801091,0.005906169953896256,0.02828487098168142,0.02688541366948871,0.02018021295984762,0.02944468746212925,0.0069098487234957595,0.048133397544139145,0.01855313307855133,0.006030968867575481,0.02027672286910631,0.0202400147200108,0.03408467573787366,0.01628773442740017,0.011081720723078448
2019-08-30,-0.021324567649781523,-0.008683557041396672,-0.002103704610159296,0.0017018510845072665,-0.02440119474162583,-0.003893768690819255,-0.005072060950765289,0.016729342147635107,-0.00637216197534507,0.013385456316007183,0.006495525148019654,0.0025366562233155587,0.005197776374708862,0.005269993705576459,0.0005315820481242017,-0.004639251238314213,0.00073071962804927
2019-09-03,-0.0074180513766621825,0.021208220827914515,-0.0026834105283408682,-0.012317457883620597,0.004547529823662799,-0.0008086080099121151,-0.011011234723449448,0.005359051054358188,-0.007399851814568592,0.008737796975418322,-0.009399471709689355,-0.018399531061907726,0.008516775148043498,-0.006576908215650268,-0.009431496151921959,-0.0021186540359818817,0.0011680697611107238
2019-09-04,0.02942554478034487,0.020767669286727353,0.024212385154434912,0.008428580584515455,0.03395234833409244,0.01942542370596878,0.008453510617532967,0.0,0.010436996650319719,0.02054809149512926,0.006089756064635132,0.021087164015314297,0.0022113764142894787,0.03972241633694917,0.002816148612996061,0.006369456783266392,0.01064789917611808
2019-09-05,0.02858463992036886,0.04024742752130828,0.0026266569425228425,0.0033262697987730405,0.028896375209732206,0.0003965800744512027,-0.001738116695608194,0.012793024071307668,0.008854022764703595,0.035925661733309466,-0.0002817593481860836,0.03464883035963795,0.0011036014843908148,0.03274717217402756,0.0268787846154237,0.015612028043320514,0.014143065291761792
2019-09-06,-0.014115515631702436,0.0004249500747335322,0.003555619106694774,0.005270410181406726,-0.00638301848181233,0.011111421461062365,-0.020993108009583983,0.004737043991059897,-0.004875901522115256,-0.00019058255778059419,0.01140532241072556,0.008206029806446136,0.01112227073355987,0.004110296421833137,0.01745049743787641,0.002077283910921768,0.009392566124562851
2019-09-09,0.05816553962434279,0.02762441596632237,0.024986050396267334,0.009555501119226761,0.0548179485509368,0.04657269649003837,0.00983244709624298,0.04505007882937062,0.0,0.021155120052793963,0.025615847724473673,0.006715944560441667,0.012486117707493527,0.059356819709780684,0.015998935801239123,0.023216844382808022,0.007895164052465597
2019-09-10,0.0021140567017270406,-0.0028946956434159343,0.024558782997441186,0.020604443236180492,-0.002841899255372593,0.0012497828829767244,0.03024651837914094,0.004009866613476687,-0.00881910974200184,0.01679731076320734,-0.002035926586356651,0.032466062590187805,0.007732432259297983,0.0339500581106964,0.02897439804209534,0.006888337000094502,0.008113022912380918
2019-09-11,0.012236260563552204,-0.07548746054932876,0.015624690555036125,-0.004677799884753808,0.016693986285860163,0.011610665313144697,-0.007440141977021253,0.0009985444595181914,0.010875060733182007,-0.006791738866152586,0.007344939664938321,-0.003015613469505185,-0.0047590213857651165,-0.003737774563839613,0.012120550905476923,0.004426535441215851,-0.0019424612720655432
