Date,ALB,AMCR,APD,AVY,BALL,CF,CTVA,DD,DOW,ECL,FCX,IFF,IP,LIN,LYB,MLM,MOS,NEM,NUE,PKG,PPG,SHW,VMC
2019-08-28,0.0003372442476301529,-0.007157710318810628,0.0011083894579242415,0.006818948651158285,0.003163937829797847,0.013279475138754382,0.015314956186551543,0.00156382205946759,0.03279108960919386,0.0002930394460800567,0.027554540205655842,0.009596576155207925,0.017692110964014907,0.0012450478031040824,0.032544751576488284,0.00783339352939838,0.011325438301449164,0.002944507668681373,0.014803623618946826,0.008601339388807583,0.015082376863432057,0.014164225343884507,0.0
2019-08-29,0.01972382930675476,0.0030896100338986265,-0.005979124161542115,0.011522354341932939,0.014633540188008443,0.020079804854056027,0.01851213847699218,0.02669373638749617,0.013151400282326975,0.010840888392624537,0.018994368665443018,0.0036915430558555062,0.0328964494605386,0.01454278995106506,0.04595967464133688,0.004322307095963485,0.02855510725797683,-0.0185953777693576,0.03192417633406386,0.016040442686033662,0.010180735017065734,0.0038069766017698736,0.005292137475151115
2019-08-30,0.020499181875897943,0.008213472458421078,0.006594443873741751,0.004956874617014773,0.0016192360371327652,-0.0014502519985852835,-0.013126809141773776,0.032841545854046084,0.006136189071543896,-0.003333311895201474,0.007675146930179677,0.009102440085786201,0.012428905358991438,0.01137685556438428,0.027213404933077223,0.0041945991045830855,0.00108848410705642,-0.005485089427583523,0.003482563289235463,0.004995901066361164,0.005901587435834577,0.003945380314271052,0.004909287262989892
2019-09-03,-0.0242994044113517,-0.011201562478867166,-0.001593616646688889,-0.020262672002288706,-0.005969456481868085,-0.019506067070332644,-0.03717606021907982,-0.007066015396454128,-0.01946924044921239,-0.008821818935024428,-0.013057339988805317,-0.00546689130511635,-0.026598466593895087,-0.0088930360305296,-0.019782505347305634,0.028647864844813853,-0.02555726468716868,0.012534678136173927,-0.008574871554730357,-0.02067979571990164,-0.003249492355886674,0.000816145851109118,0.01854849783380974
2019-09-04,0.017931171436774695,0.0,0.008246308003790226,0.015000782940275847,0.010634128527680087,0.010793804952355046,0.007084687945567936,0.015270323401541441,0.01770291993243278,0.011443243327962982,0.024255811733147947,0.02519460687361086,0.015764541030102386,0.001762087874180196,0.013365476199441728,-0.0013020061463223653,0.016228457257315476,0.01559776325176565,0.015238799042911255,0.016649475605865716,0.009870727630475695,0.014207785008932383,-0.005143387715173864
2019-09-05,0.02707557710436248,0.006179108862742533,-0.012532025714568795,-0.003672880557531455,-0.025624893169371332,0.008584336637836198,0.001054985971172373,0.006717754888342586,0.019276338489086386,-0.007252600476889803,0.025834122936337467,0.023234995677352988,0.018365080898012698,-0.0024521002936263026,0.023476908678120134,-0.01910279609705312,0.06718078217797196,-0.04095571231238748,0.02129825528825746,0.0038945397338674415,0.016319961667824012,-0.00028019872513684874,-0.0018863986887849293
2019-09-06,0.004129055909815937,0.01023556464980735,0.004541948870232959,0.0022822213914748257,-0.005209057909780768,0.009757177065096823,-0.0024594048481277886,0.004060882237544972,-0.0027676415598608672,0.0066236706011821855,-0.011542292082933003,0.029345131413429648,0.001524139746901465,0.012934351050366777,0.005798724503795816,0.009033314057240505,0.008255765954192196,-0.017285280556819882,-0.0037736072090013284,0.0007961138948562319,0.02152803321751451,0.00041134675364640216,0.015049674874529462
2019-09-09,0.03368633091583795,-0.006079049967655181,-0.040914808575462036,-0.006743312956344005,-0.04125141830609769,0.0043174141425537105,0.012680671064266846,0.018636625127366635,0.02798339605903144,-0.028593412327554857,0.029723956488052927,0.017562888337669058,0.018513809644694623,-0.022741841108130045,0.04368988185199463,-0.019106356915447043,0.03275311365785338,-0.015519533118119044,0.021331548150213653,-0.0008944837058169064,0.006305174156505666,-0.02189864749623538,-0.02034381567653365
2019-09-10,0.044675549436891115,0.03818367999056038,-0.011924767510384626,0.002380612155670425,-0.042360988438878366,0.03950869762483489,-0.006608943422877989,0.012622340155112655,0.042069394014298656,-0.01753168114255943,0.04329881274520897,0.03276932472311045,0.02664346167849807,0.002753631514881505,0.04443888808269869,0.014698022836502345,0.05946509341754336,0.002627364320606951,0.0273281296756529,0.03660934988526865,0.006522913725725443,-0.0024853203460650786,0.0005635609576364331
2019-09-11,0.014206552216302182,0.007952369330228803,0.011975023320097922,-0.006069084584047979,-0.00013883617722820762,-0.007877038215855725,0.0248601046443242,0.0021006207886198336,0.012090232076716223,-0.0003550307887766335,-0.003952740705409408,0.029065023235622878,0.014795248565028674,0.010176520998358862,0.00740487653275701,0.006385643200799818,0.028531099509809144,0.01841141447549588,0.011970318380018607,0.037331899811466895,0.0034962730928560504,0.010867742247558931,0.021950096053240387
