Date,ADM,BF-B,CHD,CL,CLX,COST,DG,DLTR,EL,GIS,HRL,HSY,KHC,KMB,KO,KR,MDLZ,MKC,MNST,MO,PEP,PG,PM,SJM,STZ,SYY,TAP,TGT,TSN,WMT
2019-08-28,0.004008703787618639,-0.002373624878600822,0.007024533576090342,0.007625429843734599,0.008383235546936652,0.007216689925692021,0.01643231483087093,0.02945734856972715,0.009972524277295891,0.0233091965394574,-0.0025940598041384044,0.006901845961015507,0.006800302999419694,0.0057390482231258755,0.007127043249622211,0.016868242317429116,0.008452892824959868,0.005091201390097444,0.026692631153905078,0.013259431595473048,0.003191016656329815,0.0070514011844351465,0.036540921568104956,0.006558227722527121,0.018366393795011593,0.007310067352168215,0.019533704513633898,0.01623685282045262,0.006780192282089148,0.0026685930195760044
2019-08-29,0.004258654633154002,0.0,-0.00435935980466895,0.0027023931180223393,-0.004562739182568887,0.009290921729370183,0.10678593943739823,-0.019377513401039326,0.007371850103646382,0.004329997212757064,0.003546159329887777,-0.015516012586160977,0.006356872155689031,-0.0007750523789127328,-0.0010887418293019646,0.0068058582959762415,0.007288691098140232,-0.004455019479835287,-0.008092307263871668,-0.03489662337304378,0.006139418480659353,-0.0018122036830747756,-0.021528651645507324,-0.014755375757045663,0.013872766775945289,0.0010755599890202028,0.009292150087473416,0.014379782245611095,0.016795145498333053,0.012064992145972564
2019-08-30,0.008481190803796723,0.0023792723787119385,-0.0018767145310865097,-0.0006735954642752562,-0.006844964389718822,-0.0061029417679339115,0.0,0.039520842456397975,-0.027601806313095167,0.008434974477880886,0.0037694923411411008,0.0031017849426822064,0.007500935470258874,-0.005146460960605892,-0.00018135491568194162,0.00042254343226511004,-0.001085520078543123,-0.0015939291302470293,0.018399540832556127,-0.011525357020035432,0.00521960222936646,-0.007839635424008118,-0.00866326480262114,0.022658831546639835,-0.0013680836252932815,-0.002148129935230836,0.006072448601391001,-0.008246007518202036,0.014391786081922042,0.001577901652332958
2019-09-03,-0.0015767117915264084,0.00762830443887097,0.001127917161155123,0.002157650483084028,0.02649237993065756,-0.009193982008949386,-0.0029470160167059944,0.004530671624182636,0.007576381384786224,0.00929369831493898,0.005397639847061875,0.009149162815563328,0.02115976383984175,0.002834579145232885,0.004723537386195575,0.013935796217426688,0.007605909782018472,0.007613237095377201,-0.017555800433654456,0.006858741215806985,0.0053395065098926775,0.009398611666423307,0.007906739911999638,0.01730677928993085,0.019574303857629927,0.0018832193705957678,0.020054490657544832,-0.0030830971628977855,0.002686555441602234,0.0033259022860991916
2019-09-04,0.0065804983995556565,0.017664724145941335,0.0040065693861288665,0.007536093169065783,0.012380647631640151,0.013935740509217753,0.013943097606231802,0.029512718886914868,0.016191335535819862,0.000184217297382272,-0.007236634437612022,0.009191236206996134,0.0076746383802421825,0.008267959761986798,0.008499218207347559,0.027071865814150664,0.010064689373562308,0.006459366241915676,0.00728664101474652,0.005903779983985835,0.012294218707035176,0.015243767571204714,0.004954300494653063,-0.006543072884636403,0.00878292872891051,0.008057083389766628,0.014125042444791625,0.006091450850001623,-0.07749999421076814,0.011078215270134528
2019-09-05,0.010198925182732355,0.009714440072680963,-0.033545128406409885,-0.00774674020510302,-0.013142098380743206,0.002870250190368573,0.012800958221368841,0.025047592889694936,0.011148315788388263,-0.0027621103536384917,0.00047039726633379964,-0.006815019944831802,0.012566507750457756,-0.015319559897036927,-0.011655077292513139,0.006894051696259895,-0.0010677501898258557,-0.00859727879993566,0.012228712843249667,-0.010158132356145488,-0.016028283109540742,-0.0036521691527861,-0.014653433695753226,-0.015054665909569276,-0.024978325272937196,-0.009191432344604622,0.000940767849167079,0.010991143595700414,-0.009296058874857627,-0.0040548884294761
2019-09-06,0.0020708990234008517,0.022820522935352194,-0.020645244715107203,0.005518874418415365,-0.0009862265484807953,0.022864603751895807,0.010762172843349571,0.018489320300534295,0.010000911183434713,0.014770987382150214,0.00117499730639814,-0.008234747665419984,0.025949813154842127,-0.010252214035265328,0.0019956216958343376,-0.005235993950629569,0.008728443562431742,0.007511382559989954,-0.0272248132781322,0.0,0.010222339323167962,0.0008959522958675858,0.014176925660150275,0.005062875973135483,-0.0008784114087284633,0.017880877752246782,0.004513063449470556,0.012069043338593488,0.009148415114169195,-0.0061505528311125435
2019-09-09,0.024799732428268273,0.020224851310854275,-0.029775919873544332,-0.020214034211703202,-0.02289554013455508,-0.015670612184896182,-0.004828446527122332,-0.00656815547038081,-0.007873434484131137,0.011462797892174637,0.007276964408761133,-0.017800819744423824,0.02932546962943472,-0.0346250606197811,-0.012855409749054969,0.019838458052101604,-0.002648945573033634,-0.022912123309145604,0.0010495255415909899,0.004333017792211402,-0.007061342698633677,-0.005697226896079877,0.0045222282381713885,-0.000855352672472609,0.009768032840404395,0.013208275592718977,0.04586283859979012,-0.01729616362699571,-0.02882345254598817,0.013945974996458554
2019-09-10,0.015629108297001926,0.007866290586947988,-0.027973865103685935,-0.0146195057379912,-0.00031595451121657625,-0.006688480642849326,-0.02282918840654169,0.00945820720720647,-0.02891915904869935,-0.01906827324737903,0.01771174746457782,-0.023118464041996134,0.0313388898863769,-0.015907622900534824,-0.0022007019029817165,0.02500987994317394,-0.038066566835227134,-0.03225775810999454,0.009260855906625176,0.004541495680557395,-0.003958943014413796,-0.01874434341118525,0.016371155862539677,0.01493549667199967,0.006916642230515135,0.0005215059788605814,0.013066023209929334,0.008151657582772032,-0.02513162745944386,-0.0024069427995595527
2019-09-11,0.01886316661116938,0.017483695900498475,0.00405127348089418,0.010122007623681872,0.004106780383630992,-0.021246329769048944,-0.006874729687203818,0.013008280735067546,-0.010979441274953095,-0.003850790300977902,0.019922068239651702,-0.009112732556303071,0.011049709324239432,0.0057948166514198984,0.006801229084519189,-0.009682421687621345,0.003313253213734324,0.009166726178408746,-0.015408577138352197,0.01084982201132223,0.0036803926610446958,0.011595016109257728,0.007651037158485252,0.014152873024812607,-0.006772887409541517,0.0041692742350520895,-0.0038867361003116496,0.001286611805317417,0.010556985386742213,-0.0002586096736072463
2019-09-12,0.009744128556860243,0.00030663822493792736,0.010852609739830488,-0.007687370978075148,0.007990870591327637,-0.002751411942218951,0.006986708400374297,0.005208349747447549,-0.0002535242498360457,-0.004234066612189835,-0.01212375740637106,0.0007278600383586742,-0.008538228801056591,0.01266022216575502,0.006207749871489865,0.0007819449805956946,0.005503686184190171,0.002413737476452127,0.010198731175454778,-0.0058143026192620795,0.006820089696452314,0.012369073385646523,-0.002264461804715623,-0.02171887825556207,-0.013541745850224718,0.008434320942261708,-0.0023058374710721585,-0.00027543309032962426,0.013969856573811557,0.007757367453756769
2019-09-13,0.00434247602387372,-0.015183755340318683,-0.009221714180529417,-0.021856306497915257,-0.007865247934193964,0.006933438296919503,0.004328375935285456,0.008218672046455211,-0.012169112949658611,-0.00221882271272289,-0.023181905601856623,-0.017784018649442457,0.0075786597272249345,-0.00875860455679811,-0.008225079552687364,0.02500988150085104,-0.013318891598212201,-0.004372429360384733,0.024543077958002257,-0.03690936605447759,-0.0061914499262220035,-0.005294501347716918,-0.024699769771187374,0.006235419138877818,0.0004903878560624797,0.0072051359766085454,0.016355751971330434,-0.008720321480875537,0.020366535066028257,0.004362036191129404
2019-09-16,0.007927008280761427,-0.00046714385281965143,0.005556659416528387,-0.01810190935122391,-0.0325281914369685,-0.01099674086229363,-0.029218170694852885,-0.02923979296394874,-0.011652052678676084,0.010561464550570054,-0.0034902732121585567,-0.0035673708367616186,0.012649217499515863,-0.02741527501395824,-0.005528890456544366,-0.00953116183402647,-0.000554719500875267,0.007383196560176275,0.006286084404486081,-0.014282384116791724,-0.011433238966705672,-0.01940710839391635,-0.006160388580300102,0.0062903668565288395,-0.0011271445645638645,-0.013924283609996535,0.006646626795125732,-0.009537959888850867,0.013737290502901178,-0.0158392641283136
2019-09-17,-0.004051342500530519,0.0006231722606049317,0.005112077268219162,0.006193123532196587,0.011510836392929713,0.009421628556388173,0.023830046178080266,0.013508610714801028,-0.006283755865837515,0.008984378557261419,0.007938320481966965,0.03141041769060937,-0.04253879456844112,0.024383007448414817,0.005188894554454482,-0.01270198182670379,0.012026014016607967,0.004422157846238894,-0.02093530091765916,-0.0024145628227656424,0.006079229359593041,0.011774750300899361,-0.007988779921940359,0.014368437514123533,0.009370084838411064,0.015416623934693341,-0.03249354637644197,0.002991809533587464,0.02941866626749179,0.008133635179393695
2019-09-18,-0.0028715421079698045,0.005294243576428714,0.0008243408266739305,0.012739545480730197,0.0016712705583095122,0.003500522887723845,-0.0007655679088721667,0.010987042603063601,0.0035538614456325224,-0.009086242086666863,-0.004864092246397278,0.0023578043086243117,0.0017632705448455965,0.008868816682832126,-0.00018436719800274393,-0.016764139530926703,0.0003656212901659295,0.0016984170580320868,0.006380391811958708,-0.011377718639541623,-0.0014737948020064895,0.002063370945392995,-0.006387030838300722,0.0010118173162061428,0.007679182678080876,0.006123793678687983,-0.011494145651590904,-0.0028893981902444743,-0.0068629330389006205,0.005578781871595329
2019-09-19,-0.01847837135542907,-0.004027150463362883,-0.0005492977966561341,0.0028272323396441035,-0.010204950341848873,-0.01573049457967335,0.0007020483095716568,-0.004632142014659002,0.0046869858207010395,-0.0025671631731175593,0.0,0.002613541555145593,-0.009151859758788294,0.007739240695823213,0.00534754834035045,0.023790762844455804,0.0058476363552353305,0.004898071594290343,0.007368065467420637,-0.017629910627778078,-0.00014746371529705815,0.004035888545243171,0.0020959158581079773,-0.010934757998045108,4.831903895108347e-05,-0.005960019750530066,0.0,0.008413162312938649,-0.0011331404366309306,-0.0004266818987054277
