Date,AEE,AEP,AES,ATO,AWK,CMS,CNP,D,DTE,DUK,ED,EIX,ES,ETR,EVRG,EXC,FE,LNT,NEE,NI,NRG,PEG,PNW,PPL,SO,SRE,WEC,XEL
2019-08-28,0.0,-0.0114700072868813,0.017111475054713887,0.002221301009666332,0.00751378308928885,-0.001438659479581661,0.0010997755273549625,-0.003370606420560196,-0.0066718325543374535,0.0016276792704228438,-0.0030673518232391395,-0.02113723643229859,-0.003351253701856294,0.001962428152262108,-0.00612666919542415,0.0041091776832846705,0.001980919006605353,0.0007643691869563263,-0.007047915394328141,-0.0047881852812244885,-0.000565524295391584,0.0008408605079155418,0.0026457483268111925,-0.00034238500026950724,0.0008659749149901863,0.004030188589686068,-0.0020981042677815642,-0.00015643118686448076
2019-08-29,0.01848190682969797,0.012160794713027334,0.01749656242174291,0.015700095024646643,0.006823397293356903,0.008964388688235347,0.01135124291064904,0.011315383701388404,0.003473831064550348,0.004984178558692154,0.004329928128218086,0.0062691290925864784,0.0014947196346319913,0.006232325444729625,0.00551126055012241,0.006891966183774301,0.009226907183736088,0.0028635371041307867,-0.0003166111104033753,0.011683937699955793,0.00876940962314543,0.009578296894026783,0.005593488812860148,0.004799401516833113,0.005362246735322929,0.0016900428960782143,0.008621410289902931,0.009690887261383008
2019-08-30,0.0,0.004739991246368813,0.013889147280659042,0.002273081058352,0.003309734388637464,0.00031722698414915484,0.002534442075147636,-0.0016720826587007798,-0.0024616100755245895,-0.0002158782866737985,0.008507999153647638,0.000553857041198258,-0.0034824330788174596,-0.0015925216164586198,0.0035510581390745255,0.010909068741778105,0.0013060627056336038,-0.0015228469581344273,-0.009225493490520376,0.003736203862694243,0.020752032706080836,0.006491531708726184,0.000314843335312176,0.008188445580027626,0.0024087683999454157,-0.0042885380992396804,-0.0016680539689511997,-0.005882629997623123
2019-09-03,0.01736839796823264,0.017882650137699185,0.0006524932079110535,0.01397058110908822,0.01712219093140699,0.021094534159388,0.021668739746423027,0.015071794366327662,0.01712139122215972,0.010028319422807686,0.01957243603899239,0.015635670147434055,0.016723088439634104,0.020737358038334763,0.008461529664971712,0.013965206172365852,0.011739121535313313,0.02116310993185766,0.029577882287958657,0.017258976058296627,0.010988781415171234,0.011741091514632984,0.0028332360021372516,0.004399326392507508,0.025918425106149723,0.013203537308614344,0.020465779527507166,0.020398747567362818
2019-09-04,0.0,0.00290996333137139,-0.003259773220663731,-0.007246827599278749,-0.005791569003946506,0.0015534589454311298,-0.004949079553759672,0.004441515153344122,0.0013649270369304745,0.003202424896941558,0.0023170568058461516,-0.0029971910341975994,0.012519618363892482,0.0033858684103833525,0.0038139062751978425,0.001669579348548167,0.0064462331813799345,-0.0009337198283070336,-0.006383964806141229,0.004989900802157665,0.011141303374970102,0.003432709804067846,0.003557095011185618,0.0003368746110095078,0.005688268213270842,0.003484301339901741,-0.0008186169270244514,0.004425502127879177
2019-09-05,-0.017199310620776287,-0.01633524007743259,0.00981041078055922,-0.011535749539371198,-0.017242586559462536,-0.01674948214503147,-0.0056836721275348445,-0.010251455364475581,-0.01628035294045982,-0.0059592762474287575,0.0003303353939918541,-0.02555317762708531,-0.005576401532844666,-0.009258443993068077,-0.015501530979369682,0.0024997297831090837,-0.006831753430138088,-0.01775352542337638,-0.019230734911019343,-0.017874752923032644,0.010481107116788069,-0.00847030699443152,-0.016784848296343968,0.014146201399318992,-0.010147719027743252,-0.015069523196196255,-0.02375836090745953,-0.01017945377799545
2019-09-06,-0.012315179352580974,-0.0048070555056082265,-0.00841957283826189,-0.005379253998306632,-0.00656009787904499,-0.010094837368739618,0.018220855531859703,-0.013690112222292328,-0.00792877187939145,0.0037466880877863318,0.0028608469258701863,-0.004627882536528127,0.003901111762631082,-0.008296807178506671,-0.012658235646502702,0.0,0.003439154857370008,-0.00570800356098955,0.0015012688951989706,-0.01145947404037484,0.0037238865208621963,0.00033084350437517784,-0.005301720857928682,-0.010627732519537303,0.003025253552249252,0.0011987083881819238,-0.023077818613921774,-0.005371815195655327
2019-09-09,-0.013256480391661163,0.0031837776602328116,-0.01828881904149382,-0.012375178668898368,-0.02657090691024233,-0.020873190074170545,0.00982449758819004,0.003928403285856641,-0.0070608604587946155,-0.0004264017139227194,-0.008229203364334636,0.001972452254732193,-0.006678624177279602,-0.008454633438699677,0.00015646100494137727,-0.001869997665267964,0.005141323989872326,-0.018560804202961134,-0.0011355574843974203,-0.014319991794150999,0.0026492542775164996,-0.0006619485353427379,-0.014497280366508436,-0.0009191763235377737,-0.011059028464045051,-0.0069719054123947855,-0.028561759951773125,-0.021759532653348845
2019-09-10,-0.006626083988041098,-0.0031736733897935743,0.009980035312309399,0.009838654271349334,-0.012504059759662178,-0.007485657456443362,0.018415536691745116,0.004434678991620311,0.004688977092196733,0.002347335546336371,-0.011727057274365627,0.023481633309427652,0.0008553787473739582,-0.003019738852582332,0.004689664552044004,0.006662306340128765,-0.003836133897289651,-0.006434330021852563,-0.008049383042685987,0.002075622981491554,0.00396383953135393,0.012752552068641565,-0.004975892372568014,0.022146482130065426,0.0028802757023242975,0.005389545790547512,-0.0018792352855454553,-0.006310148075462485
2019-09-11,0.007546168555698118,0.00658663143174687,0.02437411642583065,0.007077100613006371,0.003476074174424193,0.004263276498382762,0.03752961860706394,0.01843881085528043,0.005288914034327075,0.00585497051604511,0.0067166022201861075,0.00013701935400178833,0.003664713969458777,0.005879764316219616,0.011980693037490386,0.00785942179363297,0.018185773870502464,0.009223132045441673,0.008893948097784543,0.005868225983965747,0.016320132566397527,0.012428618937217584,0.012610268942987446,0.024999926675619122,0.00878502125203573,0.010510240149214312,0.010741662290834064,0.004127885672544629
